filename,statement,type,smartlevel
page_2.png,statement,type,smartlevel
page_2.png,Child develops the ability to show persistence in actions and behavior.,Content Area,1
page_2.png,Birth to 9 Months,label,1.1
page_2.png,Shows increasing ability to continue interactions with familiar adults or toys for increasing amount of time.,performance standards,1.1.1
page_2.png,8 Months to 18 Months,label,1.2
page_2.png,"Shows willingness to repeat attempts to communicate or to complete a difficult task, often tries different strategies until successful.",performance standards,1.2.1
page_2.png,16 Months to 36 Months,label,1.3
page_2.png,Shows increasing ability to stay engaged when working towards a goal or solving a problem.  Often tries different strategies until successful.,performance standards,1.3.1
page_2.png,Child demonstrates the ability to be flexible in actions and behavior.,Content Area,2
page_2.png,Birth to 9 Months,label,2.1
page_2.png,"Shows repetitive patterns in actions or behaviors, but sometimes tries more than one way to solve a problem or interact with someone.",performance standards,2.1.1
page_2.png,8 Months to 18 Months,label,2.2
page_2.png,"Shows ability to shift focus to attend to something else, participate in a new activity or try a new approach to solving a problem.",performance standards,2.2.1
page_2.png,16 Months to 36 Months,label,2.3
page_2.png,"Modifies actions or behavior in social situations, daily routines, and problem solving, such as playing quietly when asked or adjusting to changes in schedule.",performance standards,2.3.1
page_2.png,INITIATIVE AND CURIOSITY,Domain,3
page_2.png,"Child demonstrates emerging initiative in interactions, experiences and explorations.",Anchor Standard,3.1
page_2.png,Birth to 9 Months,label,3.1.1
page_2.png,"Initiates interaction with familiar adults through expressions, actions, sounds or behaviors.",performance standards,3.1.1.1
page_2.png,8 Months to 18 Months,label,3.1.2
page_2.png,"Points to desired people, objects or places and initiates actions, such as looking for a favorite toy or bringing a book to a familiar adult to read.",performance standards,3.1.2.1
page_2.png,16 Months to 36 Months,label,3.1.3
page_2.png,"Prepares for or starts some activities without being directed by others, such as getting ready for the next activity or bringing a ball to a new child at the playground.",performance standards,3.1.3.1
page_3.png,statement,type,smartlevel
page_3.png,Creativity,Content Area,1
page_3.png,Child uses creativity to increase understanding and learning.,Domain,1.1
page_3.png,"Uses a variety of ways to interact with other people, materials, expressions, actions, or behaviors based on responses of others.",Anchor Standard,1.1.1
page_3.png,Birth to 9 Months,label,1.1.1.1
page_3.png,"Uses a variety of ways to interact with other people, materials, expressions, actions, or behaviors based on responses of others.",performance standards,1.1.1.1.1
page_3.png,Makes discoveries about self and the environment.,performance standards,1.1.1.1.2
page_3.png,8 Months to 18 Months,label,1.1.1.2
page_3.png,"Finds new things to do with familiar, everyday objects, such as using a spoon to reach for a ball or a drumstick.",performance standards,1.1.1.2.1
page_3.png,Uses objects in new ways.,performance standards,1.1.1.2.2
page_3.png,18 Months to 36 Months,label,1.1.1.3
page_3.png,"Combines objects or materials in new and unexpected ways to test possibilities; shows interest in and curiosity about the world around them such as exploring new areas of the room, using materials in new ways, or seeking out new information and explores new play and tasks both independently and with adult support.",performance standards,1.1.1.3.1
page_3.png,Shows delight in creating something new.,performance standards,1.1.1.3.2
page_3.png,Child shows imagination in play and interactions with others.,Domain,1.2
page_3.png,Uses sounds gestures signs or words playfully through songs fingerplays or games emerging,Anchor Standard,1.2.1
page_3.png,Birth to 9 Months,label,1.2.1.1
page_3.png,Emerging,performance standards,1.2.1.1.1
page_3.png,8 Months to 18 Months,label,1.2.1.2
page_3.png,Uses sounds gestures signs or words playfully through songs fingerplays or games,performance standards,1.2.1.2.1
page_3.png,18 Months to 36 Months,label,1.2.1.3
page_3.png,Uses imagination to explore possible uses of objects and materials Engages in make believe play with other children,performance standards,1.2.1.3.1
page_3.png,Curiosity and Initiative,Content Area,2
page_3.png,Child shows interest in and curiosity about objects materials or events,Domain,2.1
page_3.png,Shows excitement when engaged in learning such as smiling at a familiar adult laughing after batting at a mobile kicking or moving arms and legs in an emphatic way or knocking over a toy,Anchor Standard,2.1.1
page_3.png,Birth to 9 Months,label,2.1.1.1
page_3.png,"Shows excitement when engaged in learning, such as smiling at a familiar adult, laughing after batting at a mobile, kicking or moving arms and legs in an emphatic way, or knocking over a toy.",performance standards,2.1.1.1.1
page_3.png,8 Months to 18 Months,label,2.1.1.2
page_3.png,"Approaches new materials or experiences with others, or materials of interest on own, exploring with their curiosity, such as intently listening to a new song or examining new toys.",performance standards,2.1.1.2.1
page_3.png,Actively resists actions or items not wanted.,performance standards,2.1.1.2.2
page_3.png,18 Months to 36 Months,label,2.1.1.3
page_3.png,Participates in new experiences asks questions seeking more information such as questions about new things or materials such as collecting leaves and pine cones in the fall,performance standards,2.1.1.3.1
page_1.png,statement,type,smartlevel
page_1.png,Approaches to Learning Standards,Content Area,1
page_1.png,EMOTIONAL AND BEHAVIORAL SELF-REGULATION,Domain,1.1
page_1.png,Child manages feelings emotions and support of familiar adults,Anchor Standard,1.1.1
page_1.png,Birth to 9 Months,label,1.1.1.1
page_1.png,"Interacts with familiar adults for calming and comfort, to focus attention and to share joy",performance standards,1.1.1.1.1
page_1.png,9 Months to 18 Months,label,1.1.1.2
page_1.png,Seeks to be close to familiar adults for help with strong emotions by physical or eye contact,performance standards,1.1.1.2.1
page_1.png,16 Months to 36 Months,label,1.1.1.3
page_1.png,"Uses various strategies to help manage strong emotions, such as removing self from the situation, covering eyes or ears, or seeking support from a familiar adult",performance standards,1.1.1.3.1
page_1.png,Child manages actions and behavior with support of familiar adults,Anchor Standard,1.1.2
page_1.png,Birth to 9 Months,label,1.1.2.1
page_1.png,"Responds to attentive caregiving by quieting or calming down, when being held or being comforted during moments of physical distress",performance standards,1.1.2.1.1
page_1.png,8 Months to 18 Months,label,1.1.2.2
page_1.png,Looks to familiar adults for assistance and guidance with actions and behavior,performance standards,1.1.2.2.1
page_1.png,May try to calm self by sucking on thumb or pacifier when overly excited or distressed,performance standards,1.1.2.2.2
page_1.png,16 Months to 36 Months,label,1.1.2.3
page_1.png,Begins to manage and adjust actions and behavior with the guidance of familiar adults using words or signs,performance standards,1.1.2.3.1
page_1.png,COGNITIVE SELF-REGULATION (EXECUTIVE FUNCTIONING),Domain,1.2
page_1.png,Child maintains focus and keeps attention with support,Anchor Standard,1.2.1
page_1.png,Birth to 9 Months,label,1.2.1.1
page_1.png,"Develops, with support, some ability to filter out distracting sensory stimuli to focus on and attend to important people or objects in the environment",performance standards,1.2.1.1.1
page_1.png,with support,performance standards,1.2.1.1.2
page_1.png,8 Months to 18 Months,label,1.2.1.2
page_1.png,"Shows increasing ability to attend to people, objects and activities",performance standards,1.2.1.2.1
page_1.png,Shows increasing ability to attend to objects and activities.,performance standards,1.2.1.2.2
page_1.png,16 Months to 36 Months,label,1.2.1.3
page_1.png,"Participates in activities and experiences with people, objects, or materials that require attention and common focus.",performance standards,1.2.1.3.1
page_1.png,"Shows increasing ability to attend to people,",performance standards,1.2.1.3.2
page_1.png,Shows increasing ability to attend to or join others in a common or shared focus.,performance standards,1.2.1.3.3
page_4.png,statement,type,smartlevel
page_4.png,Infant and Toddler,Content Area,1
page_4.png,Social and Emotional Development Standards,Domain,1.1
page_4.png,Relationships with Adults,Anchor Standard,1.1.1
page_4.png,Birth to 9 Months,label,1.1.1.1
page_4.png,"1. Interacts in predictable ways with familiar adults.2. Responds positively when familiar adults ""age appropriate efforts to help with stressful moments.",performance standards,1.1.1.1.1
page_4.png,8 Months to 18 Months,label,1.1.1.2
page_4.png,1. Seeks familiar adults for emotional support and encouragement.2. Reacts or may become distressed when separated from familiar adults.,performance standards,1.1.1.2.1
page_4.png,16 Months to 36 Months,label,1.1.1.3
page_4.png,1. Engages in positive interactions in a wide range of situations and with familiar adults.2. Seeks familiar adults for comfort when distressed or tired.,performance standards,1.1.1.3.1
page_4.png,Child uses expectations learned through repeated experiences in primary relationships to develop relationships with other adults.,Anchor Standard,1.1.2
page_4.png,Birth to 9 Months,label,1.1.2.1
page_4.png,1. Recognizes familiar adults.2. May avoid or withdraw from unfamiliar adults.,performance standards,1.1.2.1.1
page_4.png,8 Months to 18 Months,label,1.1.2.2
