filename,code,statement,type,notes
page_47.png,MT,Mathematical Thinking,Domain of Development & Learning,
page_47.png,MT1.,NUMBER CONCEPTS AND OPERATIONS,Domain Component,
page_47.png,MT1.2,Explores combining and separating groups (numerical operations),Learning Goal,
page_47.png,,BIRTH-8m,Indicator,
page_47.png,,"Typical development of these skills tends to emerge after birth-8m. However, foundations of this learning goal are built through MT1.1 Demonstrates number sense and an understanding of quantity (see page 63)",Indicator,CHANGES IN QUANTITY
page_47.png,,9-18m,,
page_47.png,,"Shows increasing understanding of changes in quantity by using and responding to phrases like ""more,"" ""less,"" and ""all gone"" and later in this age range ""one fewer"" and ""one more"" [e.g., when prompted, child hands peer one more block]",Indicator,CHANGES IN QUANTITY
page_47.png,,19-36m,,
page_47.png,,"With increasing independence creates larger and smaller groups of objects [e.g., placing and removing rings on a vertical peg] and later in this age range adds and subtracts with sets of objects smaller than three with adult support [e.g., ""subtracts"" from a group of three toys by offering one to an adult, then pointing to the remaining toys and communicating ""Two""]",Indicator,ADDITION & SUBTRACTION
page_47.png,,37-48m,,
page_47.png,,"Shows increased understanding that adding to or taking away objects from a group will increase or decrease the number of objects in the set [e.g., communicates, ""I wanted more green blocks so my friend gave me three of his""] and can describe parts of a group [e.g., Says, ""I have four cubes. Two are red, and two are blue""]",Indicator,CHANGES IN QUANTITY
page_47.png,,"Using fingers or manipulatives as tools, shows increasing ability to solve simple addition problems by joining objects together for increasingly larger totals [up to 10; e.g, when adding a group of 3 and a group of 2, counts ""one, two, three..."" and then counts on ""four, five!"" keeping track with fingers]",Indicator,ADDITION & SUBTRACTION
page_47.png,,"Using fingers or manipulatives as tools, shows increasing ability to solve simple subtraction problems by separating increasingly larger totals [up to 10; e.g., when asked how many counting bears will be left from a group of six if a friend takes two, child moves two bears to the side then counts remaining bears, ""one, two, three, four...four bears!""]",Indicator,ADDITION & SUBTRACTION
page_47.png,,"Explores early division concepts by dividing objects into ""fair-share"" groups [e.g., gives three peers each two pieces of play fruit while playing restaurant] and identifying the concepts of a fraction whole and half by using real objects [e.g., identifies two equal parts of an apple or graham cracker as a half]",Indicator,EARLY DIVISION AND FRACTIONS
page_47.png,,49-60m,,
page_54.png,ST,Science and Technology,Domain of Development & Learning,
page_54.png,ST1.,SCIENTIFIC PRACTICES,Domain Component,
page_54.png,ST1.1,Engages in the scientific process to collect analyze and communicate information,Learning Goal,
page_54.png,,BIRTH-8m,Indicator,
page_54.png,,"Recognizes ability to make things happen (e.g., hits or kicks an object and it moves) and intentionally repeats actions to observe the reaction (e.g., bangs block on floor repeatedly to hear the sound it makes; flips switches on and off; splashes hands in water to see toys move)",Indicator,INVESTIGATION & HYPOTHESIS TESTING
page_54.png,,9-18m,,
