filename,code,statement,type,notes
page_2.png,SE1.,RELATIONSHIPS WITH OTHERS,Domain Component,
page_2.png,SE1.2,Interacts with peers,Learning Goal,
page_2.png,,Birth-8m,,
page_2.png,,Shows interest in peers (e.g., watches other children, reacts out to touch them
page_2.png,,9-18m,,
page_2.png,,Begins to engage in parallel play (playing next to but not directly involved in another child's play),Indicator,
page_2.png,,19-36m,,
page_2.png,,"Participates in associative play (playing independently but engaging in the same activity as other children, sometimes interacting through talking or sharing toys)",Indicator,
page_2.png,,37-48m,,
page_2.png,,Engages in cooperative play with peers (communicates and collaborates with other children in role play or to achieve a goal),Indicator,
page_2.png,,49-60m,,
page_2.png,,"Shows increasing understanding and demonstration of social skills such as turn-taking, initiating and joining in group play situations, and solving social conflict with adult guidance",Indicator,STAGES OF PLAY
page_3.png,SE,Social and Emotional Development,Domain of Development & Learning,
page_3.png,SE2.,EMOTIONAL EXPRESSION AND UNDERSTANDING,Domain Component,
page_3.png,SE2.1,Experiences, expresses, and regulates a range of emotions
page_3.png,,Birth-8m,,
page_3.png,,Expresses a range of basic emotions (e.g., joy, sadness
page_3.png,,Uses adult support to calm self (e.g., relaxes when picked up and held by a familiar adult) and demonstrates some self-soothing behaviors (e.g., thumb/fist sucking
page_3.png,,Comforts self by seeking a special toy, object, or caregiver when upset
page_3.png,,9-18m,,
page_3.png,,Uses words, signs, other communication methods
page_3.png,,Shows increasing ability to constructively express emotions or alter emotional expression based on social context and cultural norms*,Indicator,Expression
page_3.png,,Uses an expanding range of self-regulation strategies with support and modeling (e.g., taking deep breaths and relaxing muscles, verbal reasoning or reframing of the situation
page_3.png,,19-36m,,
page_3.png,,37-48m,,
page_3.png,,49-60m,,
page_1.png,SE1.,RELATIONSHIPS WITH OTHERS,Domain Component,
page_1.png,SE1.1,Forms trusting relationships with nurturing adults,Learning Goal,
page_1.png,,Birth-8m,,
page_1.png,,"Engages in back-and-forth interactions with familiar adults (e.g., peek-a-boo, makes vocalizations in response to adult interaction, imitates facial expressions or sounds)",Indicator,INTERACTIONS
page_1.png,,9-18m,,
page_1.png,,"Participates in longer back-and-forth interactions with adults to share experiences; imitates adults' actions; communicates ideas; seeks distance; and engages in role play, games, or other activities",Indicator,
page_1.png,,19-36m,,
page_1.png,,"Takes greater initiative in social interactions and begins to show interest in familiar adults' feelings, preferences, and well-being",Indicator,
page_1.png,,37-48m,,
page_1.png,,Looks to particular people for security comfort and protection and shows distress or uneasiness when separated from a special person (separation anxiety) or when encountering strangers (stranger anxiety),Indicator,ATTACHMENT RELATIONSHIPS
page_1.png,,49-60m,,
page_1.png,,Separates from primary caregivers with minimal distress when with other familiar and trusted adults*,Indicator,
