filename,statement,type,smartlevel
page_2.png,statement,type,smartlevel
page_2.png,Child develops the ability to show persistence in actions and behavior.,Domain,1
page_2.png,Birth to 9 Months,label,1.1
page_2.png,1. Shows increasing ability to continue interactions with familiar adults or toys for increasing amounts of time,performance standards,1.1.1
page_2.png,8 Months to 18 Months,label,1.2
page_2.png,"1. Shows willingness to repeat attempts to communicate or to complete a task, even when encountering difficulties.",performance standards,1.2.1
page_2.png,16 Months to 36 Months,label,1.3
page_2.png,1. Shows increasing ability to stay engaged when working towards a goal or solving a problem. Often tries different strategies until successful.,performance standards,1.3.1
page_2.png,Child demonstrates the ability to be flexible in actions and behavior.,Domain,2
page_2.png,Birth to 9 Months,label,2.1
page_2.png,"1. Shows repetitive patterns in actions or behaviors, but sometimes tries more than one way to solve a problem or interact with someone.",performance standards,2.1.1
page_2.png,8 Months to 18 Months,label,2.2
page_2.png,"1. Shows ability to shift focus to attempt to solve a problem in a new way, or to engage in a new activity, or to try a new approach to solving a problem.",performance standards,2.2.1
page_2.png,16 Months to 36 Months,label,2.3
page_2.png,"1. Modifies actions or behavior in social situations, daily routines, and problem solving, such as playing quietly when asked or adjusting to changes in schedule.",performance standards,2.3.1
page_2.png,INITIATIVE AND CURIOSITY,Content Area,3
page_2.png,Birth to 9 Months,label,3.1.1
page_2.png,"1. Initiates interactions with familiar adults through expressions, actions, sounds or behaviors.",performance standards,3.1.1.1
page_2.png,8 Months to 18 Months,label,3.1.2
page_2.png,"1. Points to desired people, objects or places and initiates actions, such as looking for a favorite toy or bringing a book to a familiar adult to read.",performance standards,3.1.2.1
page_2.png,16 Months to 36 Months,label,3.1.3
page_2.png,"1. Prepares for or starts some activities without being directed by others, such as getting ready for the next activity or bringing a ball to a new child at the playground.",performance standards,3.1.3.1
page_2.png,2. Actively resists actions or items not wanted.,performance standards,3.1.3.2
page_3.png,statement,type,smartlevel
page_3.png,Curiosity,Content Area,1
page_3.png,Birth to 9 Months,label,1.1
page_3.png,8 Months to 18 Months,label,1.2
page_3.png,"1. Approaches new materials, experiences with others, or materials in an environment with curiosity, such as intently listening to a new song or examining new toys or materials.",performance standards,1.2.1
page_3.png,2. Actively resists actions or items not wanted.,performance standards,1.2.2
page_3.png,18 Months to 36 Months,label,1.3
page_3.png,Creativity,Content Area,2
page_3.png,Birth to 9 Months,label,2.1
page_3.png,8 Months to 18 Months,label,2.2
page_3.png,2. Uses objects in new ways.,performance standards,2.2.2
page_3.png,18 Months to 36 Months,label,2.3
page_3.png,1. Combines simple objects or materials in new and  exploring objects in room.,performance standards,2.3.1
page_3.png,2. Shows interest in and curiosity about the world around them such as a exploring new areas of a room.,performance standards,2.3.2
page_3.png,3. Seeks out new information and explores new play and tasks both independently and with adult support.,performance standards,2.3.3
page_3.png,4. Shows delight in creating something new.,performance standards,2.3.4
page_3.png,Child shows imagination in play and interactions with others.,Domain,3
page_3.png,Birth to 9 Months,label,3.1
page_3.png,1. Emerging,performance standards,3.1.1
page_3.png,8 Months to 18 Months,label,3.2
page_3.png,18 Months to 36 Months,label,3.3
page_3.png,1. Uses imagination to explore possible uses of objects and materials.,performance standards,3.3.1
page_3.png,Engages in make-believe play with other children.,performance standards,3.3.2
page_1.png,statement,type,smartlevel
page_1.png,EMOTIONAL AND BEHAVIORAL SELF-REGULATION,Content Area,1
page_1.png,"Child manages feelings, emotions and support of familiar adults.",Domain,1.1
page_1.png,Interacts with familiar adults for calming and comfort; to focus attention and to share joy.,performance standards,1.1.1.1
page_1.png,Seeks to be close to familiar adults for help with strong emotions by physical or eye contact.,performance standards,1.1.2.1
page_1.png,"Uses various strategies to help manage strong emotions, such as removing self from the situation, covering eyes or ears, or seeking support from a familiar adult.",performance standards,1.1.3.1
page_1.png,Child manages actions and behavior with support of familiar adults.,Domain,1.2
page_1.png,"Responds to attentive caregiving by quieting or calming down, when being held or being comforted during moments of physical distress.",performance standards,1.2.1.1
page_1.png,1. Looks to familiar adults for assistance and guidance with actions and behavior. 2. May try to calm self by sucking on thumb or thumb when overly excited or distressed.,performance standards,1.2.2.1
page_1.png,Begins to manage and adjust actions and behavior with the guidance of familiar adults using words or signs.,performance standards,1.2.3.1
page_1.png,COGNITIVE SELF-REGULATION (EXECUTIVE FUNCTIONING),Content Area,2
page_1.png,Child maintains focus and keeps attention with support.,Domain,2.1
page_1.png,"Develops, with support, some ability to filter out distracting sensory stimuli to focus on and attend to important people or objects in the environment with support",performance standards,2.1.1.1
page_1.png,"1. Shows increasing ability to attend to people,   2. Shows increasing ability to attend to objects and activities.",performance standards,2.1.2.1
page_1.png,"Participates in activities and experiences with people, objects, or materials that require attention and common focus.",performance standards,2.1.3.1
page_1.png,4. Shows increasing ability to attend to or join others in a common or shared focus.,performance standards,2.1.4.1
page_1.png,Birth to 9 Months,label,1.1.1
page_1.png,8 Months to 18 Months,label,1.1.2
page_1.png,16 Months to 36 Months,label,1.1.3
page_1.png,Birth to 9 Months,label,1.2.1
page_1.png,8 Months to 18 Months,label,1.2.2
page_1.png,16 Months to 36 Months,label,1.2.3
page_1.png,Birth to 9 Months,label,2.1.1
page_1.png,8 Months to 18 Months,label,2.1.2
page_1.png,16 Months to 36 Months,label,2.1.3
page_1.png,,label,2.1.4
page_4.png,statement,type,smartlevel
page_4.png,Infant and Toddler,Content Area,1
page_4.png,Social and Emotional Development Standards,Content Area,2
page_4.png,Relationships with Adults,Domain,2.1
page_4.png,"Child develops expectations of consistent, positive interactions through secure relationships with familiar adults.",Anchor Standard,2.1.1
page_4.png,Birth to 9 Months,label,2.1.1.1
page_4.png,Interacts in predictable ways with familiar adults.,performance standards,2.1.1.1.1
page_4.png,"Responds positively when familiar adults ""age appropriate efforts to help with stressful moments.""",performance standards,2.1.1.1.2
page_4.png,8 Months to 18 Months,label,2.1.1.2
page_4.png,Seeks familiar adults for emotional support and encouragement.,performance standards,2.1.1.2.1
page_4.png,Reacts or may become distressed when separated from familiar adults.,performance standards,2.1.1.2.2
page_4.png,16 Months to 36 Months,label,2.1.1.3
page_4.png,Engages in positive interactions in a wide variety of familiar settings with familiar adults.,performance standards,2.1.1.3.1
page_4.png,Seeks or accepts adults for comfort when distressed or tired.,performance standards,2.1.1.3.2
page_4.png,Child uses expectations learned through repeated experiences in primary relationships to develop relationships with other adults.,Anchor Standard,2.1.2
page_4.png,Birth to 9 Months,label,2.1.2.1
page_4.png,Recognizes familiar adults.,performance standards,2.1.2.1.1
page_4.png,May avoid or withdraw from unfamiliar adults.,performance standards,2.1.2.1.2
page_4.png,8 Months to 18 Months,label,2.1.2.2
page_4.png,"Makes eye contact with, or stays close to familiar adults for emotional comfort when an unfamiliar adult approaches.",performance standards,2.1.2.2.1
page_4.png,16 Months to 36 Months,label,2.1.2.3
page_4.png,Often watches from a distance or waits for reassurance from a familiar adult before approaching someone new.,performance standards,2.1.2.3.1
page_4.png,"May engage in positive interactions when meeting new people, such as sharing a book with a visitor.",performance standards,2.1.2.3.2
page_4.png,Child learns to use familiar adults as a resource to meet needs.,Anchor Standard,2.1.3
page_4.png,Birth to 9 Months,label,2.1.3.1
page_4.png,Communicates needs to familiar adults by using a variety of behaviors.,performance standards,2.1.3.1.1
page_4.png,8 Months to 18 Months,label,2.1.3.2
page_4.png,Looks to or seeks help from familiar adults.,performance standards,2.1.3.2.1
page_4.png,16 Months to 36 Months,label,2.1.3.3
page_4.png,Asks a familiar adult for help or assistance when encountering difficult tasks or situations.,performance standards,2.1.3.3.1
page_5.png,statement,type,smartlevel
page_5.png,RELATIONSHIPS WITH OTHER CHILDREN,Content Area,1
page_5.png,Child shows interest in interacts with and develops personal relationships with other children,Domain,1.1
page_5.png,Birth to 9 Months,label,1.1.1
page_5.png,Looks at attentively touches or explores another child's face,performance standards,1.1.1.1
page_5.png,Show recognition for familiar children through behaviors,performance standards,1.1.1.2
page_5.png,8 Months to 18 Months,label,1.1.2
page_5.png,Participates in simple back-and-forth interactions with another child,performance standards,1.1.2.1
page_5.png,Interacts with a few children on a regular basis,performance standards,1.1.2.2
page_5.png,16 Months to 36 Months,label,1.1.3
page_5.png,Seeks out other children for social interaction including initiating contact and responding to others,performance standards,1.1.3.1
