filename,statement,type
page_79.png,FOUR-YEAR-OLD CHILDREN,label
page_79.png,SOCIAL STUDIES Standards,Content Area
page_79.png,FAMILY AND COMMUNITY,Domain
page_79.png,Understand self in relation to the family and the community.,Anchor Standard
page_79.png,"1. Identify self as a member of a family, the learning community and local community.",performance standards
page_79.png,"2. With prompting and support, identify similarities and differences in people.",performance standards
page_79.png,"3. With prompting and support, describe some family traditions.",performance standards
page_79.png,"4. Identify some similarities and differences in family structure, culture, ability, language, age and gender.",performance standards
page_79.png,Understand the concept of individual rights and responsibilities.,Anchor Standard
page_79.png,"5. With prompting and support, demonstrate responsible behavior related to daily routines.",performance standards
page_79.png,"6. With prompting and support, explain some rules in the home and in the classroom.",performance standards
page_79.png,a. Identify some rules for different settings.,performance standards
page_79.png,b. Identify appropriate choices to promote positive interactions.,performance standards
page_79.png,"7. With prompting and support, identify some community members (e.g., parents, teachers, principals/directors, community helpers).",performance standards
page_79.png,"8. With prompting and support, identify some positive character traits of self and others (e.g., fair, friendly, respectful, responsible).",performance standards
page_79.png,"9. With prompting and support, describe a simple sequence of familiar events.",performance standards
page_79.png,OUR WORLD,Domain
page_79.png,1. Treat classroom materials and the belongings of others with care.,Anchor Standard
page_79.png,"2. With prompting and support, identify location and some physical features of familiar places in the environment.",Anchor Standard
page_79.png,"3. With prompting and support, use money in pretend play to demonstrate understanding of the role money plays in the environment (e.g., play store or restaurant).",Anchor Standard
page_79.png,"4. Use a variety of technology tools (e.g., telephone, cash register, computer), either real or pretend, that affect daily life interactions and activities.",Anchor Standard
page_79.png,"5. Demonstrate an understanding of the role that people play in caring for the environment (e.g., recycling, keeping the environment clean, conserving water).",Anchor Standard
page_79.png,HISTORY AND EVENTS,Domain
page_78.png,Fine motor skills,Content Area
page_78.png,Demonstrate understanding of emerging (developing) fine motor skills as they apply to the learning and performance of physical activities:,Domain
page_78.png,Demonstrate fine muscle coordination using manipulative materials that vary in size shape and skill requirement (e.g. press individual computer keys on a keyboard use clay to form shapes or objects),Anchor Standard
page_78.png,Demonstrate emerging (developing) coordination of fine muscles to perform simple motor tasks (e.g. tear cut fold and crease paper),Anchor Standard
page_78.png,Participate in fine motor activity for self-expression and/or social interaction,Anchor Standard
page_78.png,With prompting and support use fine motor skills to engage in and manipulative materials that vary in size shape and skill requirement (e.g. press individual computer keys on a keyboard use clay to form shapes and draw),performance standards
page_78.png,Self-care Health and safety skills,Content Area
page_78.png,Demonstrate an awareness and practice of safety rules,Domain
page_78.png,With prompting and support identify safety rules (e.g. classroom home community),Anchor Standard
page_78.png,With prompting and support practice safety procedures by responding appropriately to harmful or unsafe situations,Anchor Standard
page_78.png,With prompting and support demonstrate appropriate behavior to respect self and others in physical activity by following simple directions and safety procedures,Anchor Standard
page_78.png,Demonstrate an emerging (developing) use of standard health practices,Domain
page_78.png,With prompting and support practice common health routines (e.g. resting eating healthy meals exercising and using appropriate personal hygiene),Anchor Standard
page_78.png,With prompting and support participate in a variety of physical activities,Anchor Standard
page_78.png,With prompting and support identify nutritious foods,Anchor Standard
page_68.png,MEASUREMENT AND DATA,Content Area
page_68.png,Describe and compare measurable attributes.,Domain
page_68.png,Use nonstandard units of measurement.,label
page_68.png,Explore standard tools of measurement.,label
page_68.png,Classify objects and count the number of objects in each category.,Domain
page_68.png,GEOMETRY,Content Area
page_68.png,"Explore, identify, and describe shapes (squares, circles, triangles, rectangles, hexagons, cubes, cones, cylinders and spheres).",Domain
page_68.png,"Analyze, compare, create and compose shapes.",Domain
page_69.png,APPROACHES TO LEARNING Standards,Content Area
page_69.png,PLAY DOMAIN,Domain
page_69.png,"Engage in play.1. Cooperate with peers during play by taking turns, sharing materials, and inviting others to play. 2. Initiate and make decisions regarding play and learning activities (e.g., choose learning centers and materials).",Anchor Standard
page_69.png,FOUR-YEAR-OLD CHILDREN,label
page_55.png,FOUR-YEAR-OLD CHILDREN,Content Area
page_55.png,Reading Standards for LITERATURE,Domain
page_55.png,"Key Ideas and Details1. With prompting and support, ask and/or answer questions with details related to a variety of print materials (e.g., ask, ""What is the duck doing?"" or respond to, ""Tell me about the duck."").",Anchor Standard
page_55.png,"2. With prompting and support, retell familiar stories (from books, oral presentations, songs, plays) using diverse media (e.g., conversation, drama, props throughout the classroom, creative movement, art and creative writing).",Anchor Standard
page_55.png,"3. With prompting and support, identify some characters, settings and/or major events in a story.",Anchor Standard
page_55.png,"Craft and Structure4. Exhibit curiosity and interest in learning words in print.   a. Develop new vocabulary from stories.   b. Identify real world print (e.g., word wall, class dictation, labels in classroom and signs in the community).",Anchor Standard
page_55.png,"5. With prompting and support, interact with common types of texts (e.g., fantasy; factual; animals; books that represent diversity in race, culture, age, gender and ability).",Anchor Standard
page_55.png,"a. Identify the front cover, back cover and title page of a book.6. With prompting and support, identify the role of the ""author"" and ""illustrator"".",Anchor Standard
page_55.png,"Integration of Knowledge and Ideas7. With prompting and support, make connections among self, illustrations and the story (e.g., picture walk, small group questions and answers, drama).",Anchor Standard
page_55.png,8. No developmentally appropriate standard.,label
page_55.png,"9. With prompting and support, compare and contrast adventures and experiences of characters in familiar stories (e.g., how are two stories similar and/or different).",Anchor Standard
page_55.png,"Range of Reading and Level of Text Complexity10. Actively engage in a variety of shared reading experiences (e.g., small group, whole group, with a peer or teacher) with purpose and understanding through extension activities (e.g., art activities, dramatic play, creative writing, movement).",Anchor Standard
page_57.png,FOUR-YEAR-OLD CHILDREN,label
page_57.png,Reading Standards for FOUNDATIONAL SKILLS,Content Area
page_57.png,Print Concepts,Domain
page_57.png,With prompting and support demonstrate understanding of conventions of print.,Anchor Standard
page_57.png,"Understand that print moves from left to right, top to bottom, and page by page.",performance standards
page_57.png,Recognize an association between spoken and written words.,performance standards
page_57.png,"Understand that words are separated by spaces in print.""",performance standards
page_57.png,"Recognize and name some upper- and lower-case letters of the alphabet, especially those in own name.",performance standards
page_57.png,"Recognize words as a unit of print and understand that letters are grouped to form words.""",performance standards
page_57.png,Differentiate letters from numbers.,performance standards
page_57.png,"Recognize that the letters of the alphabet are a special category of visual graphics that can be individually named.""",performance standards
page_57.png,Phonological Awareness,Domain
page_57.png,"With prompting and support, demonstrate an emerging (developing) understanding of spoken words, syllables and sounds.",Anchor Standard
page_57.png,"Explore and recognize rhyming words (e.g., using songs, finger plays, nursery rhymes, imitation, poetry and conversation).",performance standards
page_57.png,"Demonstrate an understanding of language units (units of sound) by clapping, stomping and finger tapping.",performance standards
page_57.png,No developmentally appropriate standard.,label
page_57.png,"With prompting and support, isolate and pronounce the initial sounds and ending sounds in words.",performance standards
page_57.png,"Engage in language play (e.g., sound patterns, rhyming patterns, songs).",performance standards
page_57.png,Demonstrate awareness of the relationship between sounds and letters.,performance standards
page_57.png,"With prompting and support, demonstrate emergent phonics and word analysis skills.",Anchor Standard
page_57.png,Demonstrate one-to-one letter-sound correspondence by producing the primary sound of some consonants.,performance standards
page_57.png,No developmentally appropriate standard.,label
page_57.png,"Recognize own name, environmental print and some common high-frequency sight words.",performance standards
page_57.png,No developmentally appropriate standard.,label
page_56.png,FOUR-YEAR-OLD CHILDREN,Content Area
page_56.png,Reading Standards for INFORMATIONAL TEXT,Domain
page_56.png,Key Ideas and Details,Anchor Standard
page_56.png,"With prompting and support, ask and/or answer questions with details related to a variety of informational print materials (e.g., charts, graphs, maps, lists and other reference materials).",performance standards
page_56.png,"With prompting and support, identify the main topic/idea and retell some details using diverse media (e.g., drama, creative writing, art, conversation).",performance standards
page_56.png,"With prompting and support, demonstrate the connections among individuals, events, ideas, or pieces of information in a text through dramatic play, creative writing, conversation).",performance standards
page_56.png,Craft and Structure,Anchor Standard
page_56.png,Exhibit curiosity and interest about words in a variety of informational texts.,performance standards
page_56.png,"With prompting and support, identify the front cover, back cover and title page of a book.",performance standards
page_56.png,"With prompting and support, identify the role of the author"" and ""illustrator"" in informational text.""",performance standards
page_56.png,Integration of Knowledge and Ideas,Anchor Standard
page_56.png,"With prompting and support, make connections between self and text and/or information and text.",performance standards
page_56.png,"With prompting and support, explore the purpose of the informational text as it relates to self.",performance standards
page_56.png,"With prompting and support, identify similarities and differences in illustrations between two texts on the same topic.",performance standards
page_56.png,Range of Reading and Level of Text Complexity,Anchor Standard
page_56.png,"With prompting and support, actively engage in a variety of shared reading experiences (e.g., small group, whole group, with a peer or teacher) with purpose and understanding through extension activities (e.g., experiments, observations, topic studies, conversations, illustrated journals).",performance standards
page_67.png,FOUR-YEAR-OLD CHILDREN,Content Area
page_67.png,MATHEMATICS Standards,Domain
page_67.png,COUNTING AND CARDINALITY,Anchor Standard
page_67.png,"Know number names and the count sequence.1. With prompting and support, recite numbers 1 to 30 in the correct order.2. With prompting and support, recognize, name, and attempt writing numerals 0 - 20.",performance standards
page_67.png,"Count to tell the number of objects.3. With guidance and support, attempt to compare quantities of numbers using concrete manipulatives to determine more than, less than, same and different.4. With guidance and support, understand the relationship between numbers and quantities.a. Recognize that a numeral is a symbol that represents a number of objects, using developmentally appropriate pre-kindergarten materials.b. Match quantities and numerals.5. Count many kinds of concrete objects and actions up to 10, using one-to-one correspondence; and, with guidance and support, count up to 10 things in a scattered design.a. Use the number name to represent the number of objects in a set, using developmentally appropriate pre-kindergarten materials.",performance standards
page_67.png,"Compare numbers.6. Use comparative language (e.g., more than, less than, equal to, same and different) to compare objects, using developmentally appropriate pre-kindergarten materials.",performance standards
page_67.png,"OPERATIONS AND ALGEBRAIC THINKINGUnderstand addition as putting together and adding to and understand subtraction as taking apart and taking from.1. With guidance and support, experiment with adding and subtracting by using developmentally appropriate pre-kindergarten materials.2. With guidance and support, model and act out addition and subtraction problems up to 5 using developmentally appropriate pre-kindergarten materials.3. With guidance and support, decompose numbers less than or equal to 10 in more than one way using developmentally appropriate pre-kindergarten materials.",performance standards
page_73.png,Manage emotions.,Anchor Standard
page_73.png,Follow procedures and routines with teacher support.,Anchor Standard
page_73.png,Demonstrate flexibility in adapting to different environments.,Anchor Standard
page_72.png,Resolve conflicts with others.,Anchor Standard
page_72.png,"With prompting and support, use discussions and negotiations to reach a compromise (e.g., say, ""I listen to you, now it's your turn to listen to me."" ""I'll share the markers with you if you will share the glue with me."").",performance standards
