filename,statement,type,smartlevel
page_1.png,EMOTIONAL AND BEHAVIORAL SELF-REGULATION,Content Area,1
page_1.png,"Child manages feelings, emotions and support of familiar adults.",Domain,1.1
page_1.png,Birth to 9 Months,label,1.1.1
page_1.png,"1. Interacts with familiar adults for calming and comfort, to focus attention and to share joy.",performance standards,1.1.1.1
page_1.png,9 Months to 18 Months,label,1.1.2
page_1.png,1. Seeks to be close to familiar adults for help with strong emotions by physical or eye contact.,performance standards,1.1.2.1
page_1.png,16 Months to 36 Months,label,1.1.3
page_1.png,1. Uses various strategies to help manage strong emotions such as removing self from the situation covering eyes or ears or seeking support from a familiar adult.,performance standards,1.1.3.1
page_1.png,Child manages actions and behavior with support of familiar adults.,Domain,1.2
page_1.png,Birth to 9 Months,label,1.2.1
page_1.png,1. Responds to attentive caregiving by quieting or calming down such as when being held or being comforted during moments of physical distress.,performance standards,1.2.1.1
page_1.png,9 Months to 18 Months,label,1.2.2
page_1.png,1. Looks to familiar adults for assistance and guidance with actions and behavior.2. May try to calm self by sucking on thumb or other body parts when overly excited or distressed.,performance standards,1.2.2.1
page_1.png,16 Months to 36 Months,label,1.2.3
page_1.png,1. Begins to manage and adjust actions and behavior with the guidance of familiar adults using words or signs.,performance standards,1.2.3.1
page_1.png,COGNITIVE SELF-REGULATION (EXECUTIVE FUNCTIONING),Content Area,2
page_1.png,Child maintains focus and keeps attention with support.,Domain,2.1
page_1.png,Birth to 9 Months,label,2.1.1
page_1.png,"1. Develops, with support, some ability to filter out distracting sensory stimuli in order to focus on and attend to important people or objects in the environment with support.",performance standards,2.1.1.1
page_1.png,9 Months to 18 Months,label,2.1.2
page_1.png,1. Shows increasing ability to attend to people.,performance standards,2.1.2.1
page_1.png,2. Shows increasing ability to attend to objects and activities.,performance standards,2.1.2.2
page_1.png,16 Months to 36 Months,label,2.1.3
page_1.png,2. Shows increasing ability to attend to people.,performance standards,2.1.3.2
page_1.png,3. Shows increasing ability to attend or complete an activity.,performance standards,2.1.3.3
page_1.png,4. Shows increasing ability to attend to or join others in a common or shared focus.,performance standards,2.1.3.4
page_2.png,Child develops the ability to show persistence in actions and behavior.,Domain,1
page_2.png,Birth to 9 Months,label,1.1
page_2.png,1. Shows increasing ability to continue interactions with familiar adults or toys for increasing amount of times.,performance standards,1.1.1
page_2.png,8 Months to 18 Months,label,1.2
page_2.png,1. Shows willingness to repeat attempts to communicate or to repeat actions to solve a problem even when encountering difficulties.,performance standards,1.2.1
page_2.png,16 Months to 36 Months,label,1.3
page_2.png,1. Shows increasing ability to stay engaged when working towards a goal or solving a problem. Often tries different strategies until successful.,performance standards,1.3.1
page_2.png,Child demonstrates the ability to be flexible in actions and behavior.,Domain,2
page_2.png,Birth to 9 Months,label,2.1
page_2.png,1. Shows repetitive patterns in actions or behaviors but sometimes tries more than one way to solve a problem or interact with someone.,performance standards,2.1.1
page_2.png,8 Months to 18 Months,label,2.2
page_2.png,16 Months to 36 Months,label,2.3
page_2.png,INITIATIVE AND CURIOSITY,Content Area,3
page_2.png,Birth to 9 Months,label,3.1.1
page_2.png,8 Months to 18 Months,label,3.1.2
page_2.png,2. Actively resists actions or items not wanted.,performance standards,3.1.2.2
page_3.png,Creativity,Content Area,1
page_3.png,Child shows interest in and curiosity about objects materials or events,Domain,1.1
page_3.png,Birth to 9 Months,label,1.1.1
page_3.png,"Shows excitement when engaged in learning, such as smiling or laughing after putting a simple, familiar object such as a ball into a bucket or touching a toy that makes an interesting sound.",performance standards,1.1.1.1
page_3.png,"Responds to simple games; for example, hiding behind hands or taking part in a peek-a-boo game.",performance standards,1.1.1.2
page_3.png,8 Months to 18 Months,label,1.1.2
page_3.png,"Approaches new materials with curiosity, such as intently examining new toys or materials.",performance standards,1.1.2.1
page_3.png,Actively resists actions or items not wanted.,performance standards,1.1.2.2
page_3.png,16 Months to 36 Months,label,1.1.3
page_3.png,"Participates willingly in new experiences, asks questions, and experiments with new things or materials, such as collecting leaves and pine cones in the fall.",performance standards,1.1.3.1
page_3.png,Child uses creativity to increase understanding and learning.,Domain,1.2
page_3.png,Birth to 9 Months,label,1.2.1
page_3.png,"Uses a variety of ways to interact with other people: vocalizations, facial expressions, actions, or behaviors based on responses of others.",performance standards,1.2.1.1
page_3.png,"Makes discoveries about self, others and the environment.",performance standards,1.2.1.2
page_3.png,8 Months to 18 Months,label,1.2.2
page_3.png,"Finds new things to do with familiar, everyday objects, such as using a cooking pot for a hat or a spoon as a drumstick.",performance standards,1.2.2.1
page_3.png,Uses objects in new ways.,performance standards,1.2.2.2
page_3.png,16 Months to 36 Months,label,1.2.3
page_3.png,Combines materials in new and unexpected ways to explore possible uses of objects and materials.,performance standards,1.2.3.1
page_3.png,"Shows interest in and curiosity about the world around them, such as exploring new areas of a room.",performance standards,1.2.3.2
page_3.png,Seeks out new information and explores new play and tasks both independently and with adult support.,performance standards,1.2.3.3
page_3.png,Shows delight in creating something new.,performance standards,1.2.3.4
page_3.png,Child shows imagination in play and interactions with others.,Domain,1.3
page_3.png,Birth to 9 Months,label,1.3.1
page_3.png,Emerging,performance standards,1.3.1.1
page_3.png,8 Months to 18 Months,label,1.3.2
page_3.png,"Uses sounds, gestures, signs, or words playfully through songs, fingerplays, or games.",performance standards,1.3.2.1
page_3.png,16 Months to 36 Months,label,1.3.3
page_3.png,Uses imagination to explore possible uses of objects and materials. Engages in make-believe play with other children.,performance standards,1.3.3.1
page_4.png,INFANT AND TODDLER SOCIAL AND EMOTIONAL DEVELOPMENT Standards,Content Area,1
page_4.png,RELATIONSHIPS WITH ADULTS,Domain,1.1
page_4.png,Child develops expectations of consistent positive interactions through secure relationships with familiar adults,Anchor Standard,1.1.1
page_4.png,Birth to 9 Months,label,1.1.1.1
page_4.png,Interacts in predictable ways with familiar adults Responds positively to familiar adults' age-appropriate efforts to help with stressful moments,performance standards,1.1.1.1.1
page_4.png,8 Months to 18 Months,label,1.1.1.2
page_4.png,Seeks familiar adults for emotional support and reassurance Reacts or may become distressed when separated from familiar adults,performance standards,1.1.1.2.1
page_4.png,18 Months to 36 Months,label,1.1.1.3
page_4.png,Engages in positive interactions in a wide variety of settings with familiar adults Seeks to be close to familiar adults for comfort when distressed or tired,performance standards,1.1.1.3.1
page_4.png,Child uses expectations learned through repeated experiences in primary relationships to develop relationships with other adults,Anchor Standard,1.1.2
page_4.png,Birth to 9 Months,label,1.1.2.1
page_4.png,Recognizes familiar adults May avoid or withdraw from unfamiliar adults,performance standards,1.1.2.1.1
page_4.png,8 Months to 18 Months,label,1.1.2.2
page_4.png,Makes eye contact with or stays close to familiar adults for emotional comfort when an unfamiliar adult approaches,performance standards,1.1.2.2.1
page_4.png,18 Months to 36 Months,label,1.1.2.3
page_4.png,Often watches from a distance or waits for reassurance from a familiar adult before approaching someone new May engage in positive interactions when meeting new people such as sharing a book with a visitor,performance standards,1.1.2.3.1
page_4.png,Child learns to use familiar adults as a resource to meet needs,Anchor Standard,1.1.3
page_4.png,Birth to 9 Months,label,1.1.3.1
page_4.png,Communicates needs to familiar adults by using a variety of behaviors,performance standards,1.1.3.1.1
page_4.png,8 Months to 18 Months,label,1.1.3.2
page_4.png,Looks to or seeks help from familiar adults,performance standards,1.1.3.2.1
page_4.png,16 Months to 36 Months,label,1.1.3.3
