Developmental Indicator,Type,Age Group,filename,Sub Area,SmartLevel,Focus Area,Area
Shows increasing ability to continue interactions with familiar adults or toys for increasing amounts of time.,indicator,Birth to 9 Months,page_2.png,INITIATIVE AND CURIOSITY,1,"Child demonstrates emerging initiative in interactions, experiences and explorations.",Approaches to Learning
Shows willingness to repeat attempts to communicate or to repeat actions to solve a problem even when encountering difficulties.,indicator,9 Months to 18 Months,page_2.png,INITIATIVE AND CURIOSITY,1,"Child demonstrates emerging initiative in interactions, experiences and explorations.",Approaches to Learning
Shows increasing ability to stay engaged when working towards a goal or solving a problem. Often tries different strategies until successful.,indicator,18 Months to 36 Months,page_2.png,INITIATIVE AND CURIOSITY,2,"Child demonstrates emerging initiative in interactions, experiences and explorations.",Approaches to Learning
"Shows repetitive patterns in actions or behaviors, but sometimes tries more than one way to solve a problem or interact with someone.",indicator,Birth to 9 Months,page_2.png,INITIATIVE AND CURIOSITY,1,"Child demonstrates emerging initiative in interactions, experiences and explorations.",Approaches to Learning
"Shows ability to shift focus to attend to something else, participate in a new activity, or try a new approach to solving a problem.",indicator,9 Months to 18 Months,page_2.png,INITIATIVE AND CURIOSITY,1,"Child demonstrates emerging initiative in interactions, experiences and explorations.",Approaches to Learning
"Modifies actions or behavior in social situations, daily routines, and problem solving, such as playing quietly when asked or adjusting to changes in schedule.",indicator,18 Months to 36 Months,page_2.png,INITIATIVE AND CURIOSITY,1,"Child demonstrates emerging initiative in interactions, experiences and explorations.",Approaches to Learning
"Initiates interactions with familiar adults through expressions, actions, sounds or behaviors.",indicator,Birth to 9 Months,page_2.png,INITIATIVE AND CURIOSITY,2,"Child demonstrates emerging initiative in interactions, experiences and explorations.",Approaches to Learning
Actively resists actions or items not wanted.,indicator,Birth to 9 Months,page_2.png,INITIATIVE AND CURIOSITY,2,"Child demonstrates emerging initiative in interactions, experiences and explorations.",Approaches to Learning
"Points to desired people, objects or places and initiates actions, such as looking for a favorite toy or bringing a book to a familiar adult to read.",indicator,9 Months to 18 Months,page_2.png,INITIATIVE AND CURIOSITY,1,"Child demonstrates emerging initiative in interactions, experiences and explorations.",Approaches to Learning
"Prepares for or starts some activities without being directed by others, such as getting ready for the next activity or bringing a ball to a new child at the playground.",indicator,18 Months to 36 Months,page_2.png,INITIATIVE AND CURIOSITY,1,"Child demonstrates emerging initiative in interactions, experiences and explorations.",Approaches to Learning
"Shows excitement when engaged in learning, such as smiling at a familiar adult, laughing after batting at a mobile, kicking or moving arms and legs in an emphatic way or knocking over a toy.",indicator,Birth to 9 Months,page_3.png,CURIOSITY AND INITIATIVE,2,Child shows imagination in play and interactions with others.,APPROACHES TO LEARNING
"Approaches new events, experiences with others, or materials with interest and curiosity, such as intently listening to a new song or examining new toys or material.",indicator,9 Months to 18 Months,page_3.png,CURIOSITY AND INITIATIVE,1,Child shows imagination in play and interactions with others.,APPROACHES TO LEARNING
Actively resists actions or items not wanted.,indicator,9 Months to 18 Months,page_3.png,CURIOSITY AND INITIATIVE,2,Child shows imagination in play and interactions with others.,APPROACHES TO LEARNING
"Participates in new experiences, asks questions, and experiments with new things or materials, such as collecting leaves and pine cones in the fall.",indicator,18 Months to 36 Months,page_3.png,CURIOSITY AND INITIATIVE,1,Child shows imagination in play and interactions with others.,APPROACHES TO LEARNING
"Uses variety of ways to interact with other people. Changes expressions, actions, or behaviors based on responses of others.",indicator,Birth to 9 Months,page_3.png,CURIOSITY AND INITIATIVE,1,Child shows imagination in play and interactions with others.,APPROACHES TO LEARNING
"Makes discoveries about self, others and the environment.",indicator,Birth to 9 Months,page_3.png,CURIOSITY AND INITIATIVE,2,Child shows imagination in play and interactions with others.,APPROACHES TO LEARNING
"Finds new things to do with familiar, everyday objects, such as using a cooking pot for a hat or a spoon as a drumstick.",indicator,9 Months to 36 Months,page_3.png,CURIOSITY AND INITIATIVE,1,Child shows imagination in play and interactions with others.,APPROACHES TO LEARNING
Uses objects in new ways.,indicator,9 Months to 36 Months,page_3.png,CURIOSITY AND INITIATIVE,2,Child shows imagination in play and interactions with others.,APPROACHES TO LEARNING
Combines objects or materials in new and unexpected ways.,indicator,18 Months to 36 Months,page_3.png,CURIOSITY AND INITIATIVE,1,Child shows imagination in play and interactions with others.,APPROACHES TO LEARNING
Shows interest in and curiosity about the world around them such as exploring new areas.,indicator,18 Months to 36 Months,page_3.png,CURIOSITY AND INITIATIVE,2,Child shows imagination in play and interactions with others.,APPROACHES TO LEARNING
Seeks out new information and explores new play and tasks both independently and with adult support.,indicator,18 Months to 36 Months,page_3.png,CURIOSITY AND INITIATIVE,3,Child shows imagination in play and interactions with others.,APPROACHES TO LEARNING
Shows delight in creating something new.,indicator,18 Months to 36 Months,page_3.png,CURIOSITY AND INITIATIVE,4,Child shows imagination in play and interactions with others.,APPROACHES TO LEARNING
Emerging,indicator,Birth to 9 Months,page_3.png,CURIOSITY AND INITIATIVE,1,Child shows imagination in play and interactions with others.,APPROACHES TO LEARNING
"Uses sounds, gestures, signs, or words playfully through songs, fingerplays, or games.",indicator,9 Months to 18 Months,page_3.png,CURIOSITY AND INITIATIVE,1,Child shows imagination in play and interactions with others.,APPROACHES TO LEARNING
Uses imagination to explore possible uses of objects and materials. Engages in make-believe play with other children.,indicator,18 Months to 36 Months,page_3.png,CURIOSITY AND INITIATIVE,1,Child shows imagination in play and interactions with others.,APPROACHES TO LEARNING
"Interacts with familiar adults for calming and comfort, to focus attention and to share joy.",indicator,Birth to 9 Months,page_1.png,COGNITIVE SELF-REGULATION (EXECUTIVE FUNCTIONING),1,Child maintains focus and keeps attention with support,APPROACHES TO LEARNING
Seeks to be close to familiar adults for help with strong emotions by physical or eye contact.,indicator,9 Months to 18 Months,page_1.png,COGNITIVE SELF-REGULATION (EXECUTIVE FUNCTIONING),1,Child maintains focus and keeps attention with support,APPROACHES TO LEARNING
"Uses various strategies to help manage strong emotions, such as removing self from the situation, covering eyes or ears, or seeking support from a familiar adult.",indicator,18 Months to 36 Months,page_1.png,COGNITIVE SELF-REGULATION (EXECUTIVE FUNCTIONING),1,Child maintains focus and keeps attention with support,APPROACHES TO LEARNING
"Responds to attentive caregiving by quieting or calming down, such as when being fed or being comforted during moments of physical distress.",indicator,Birth to 9 Months,page_1.png,COGNITIVE SELF-REGULATION (EXECUTIVE FUNCTIONING),1,Child maintains focus and keeps attention with support,APPROACHES TO LEARNING
Looks to familiar adults for assistance and guidance with actions and behavior.,indicator,9 Months to 18 Months,page_1.png,COGNITIVE SELF-REGULATION (EXECUTIVE FUNCTIONING),1,Child maintains focus and keeps attention with support,APPROACHES TO LEARNING
