filename,Code,statement,type,SmartLevel,
page_1.png,Code,Statement,Type,SmartLevel,
page_1.png,Goal APL-1,Children show curiosity and express interest in the world around them.,goal,1.1,
page_1.png,,Infants,label,1.1.1,
page_1.png,APL-1a,"Show interest in others (smile or gaze at caregiver, make sounds or move body when other person is near). APL-1a",developmental_indicator,1.1.1.1,
page_1.png,APL-1b,"Show interest in themselves (watch own hands, play with own feet). APL-1b",developmental_indicator,1.1.1.2,
page_1.png,APL-1c,"React to new sights, sounds, tastes, smells, and touches (stick out tongue at first solid food, turn head quickly when door slams). APL-1c",developmental_indicator,1.1.1.3,
page_1.png,,Younger Toddlers,label,1.1.2,
page_1.png,APL-1d,Imitate what others are doing. APL-1d,developmental_indicator,1.1.2.1,
page_1.png,APL-1e,"Show interest about their surroundings (with pointing, facial expressions, words). APL-1e",developmental_indicator,1.1.2.2,
page_1.png,APL-1f,"Show pleasure when exploring and making things happen (clap, smile, repeat action again and again). APL-1f",developmental_indicator,1.1.2.3,
page_1.png,,Older Toddlers,label,1.1.3,
page_1.png,APL-1g,Discover things that interest and amaze them and seek to share them with others. APL-1g,developmental_indicator,1.1.3.1,
page_1.png,APL-1h,Show pleasure in new skills and in what they have done. APL-1h,developmental_indicator,1.1.3.2,
page_1.png,APL-1i,Watch what others are doing and often try to participate. APL-1i,developmental_indicator,1.1.3.3,
page_1.png,,Younger Preschoolers,label,1.1.4,
page_1.png,APL-1j,Discover things that interest and amaze them and seek to share them with others. APL-1j,developmental_indicator,1.1.4.1,
page_1.png,APL-1k,Communicate interest to others through verbal and nonverbal means (take teacher to the science center to see a new animal). APL-1k,developmental_indicator,1.1.4.2,
page_1.png,APL-1l,"Show interest in a growing range of topics, ideas, and tasks. APL-1l",developmental_indicator,1.1.4.3,
page_1.png,,Older Preschoolers,label,1.1.5,
page_1.png,APL-1m,Discover things that interest and amaze them and seek to share them with others. APL-1m,developmental_indicator,1.1.5.1,
page_1.png,APL-1n,Communicate interest to others through verbal and nonverbal means (take teacher to the science center to see a new animal). APL-1n,developmental_indicator,1.1.5.2,
page_1.png,APL-1o,"Show interest in a growing range of topics, ideas, and tasks. APL-1o",developmental_indicator,1.1.5.3,
page_1.png,APL-1p,"Demonstrate interest in mastering new skills (e.g., writing name, riding a bike, dance moves, building skills). APL-1p",developmental_indicator,1.1.5.4,
page_10.png,Goal APL-6,Children use a variety of strategies to solve problems.,goal,1.6,
page_10.png,,Infants,label,1.6.1,
,APL-6a,"Try one or two
strategies to get what
they want (make noise,
move or reach toward
things, reject unwanted
item).",developmental_indicator,1.6.1.1,
,APL-6b,"Try a familiar action in a
new activity (hit a button
on a new toy, try to
open a visitor�s purse).",developmental_indicator,1.6.1.2,
,APL-6c,"Use trial and error to
get something done,
get what they want, or
solve simple problems.",developmental_indicator,1.6.1.3,
page_10.png,APL-6a,,label,1.6.2,Younger Toddlers
page_10.png,APL-6d,"Try one or two strategies to get what they want or solve a problem (try giving a peer an alternate toy to get a toy from him/her; try to put a ball in a box—if it will not fit, gets a bigger box). APL-6d",developmental_indicator,1.6.2.1,
page_10.png,APL-6e,Use available resources to accomplish a goal or solve a problem (push a stool to a counter to reach for something). APL-6e,developmental_indicator,1.6.2.2,
page_10.png,APL-6f,"After unsuccessful attempt to solve a problem, ask for help from an adult (point, gesture, speak). APL-6f",developmental_indicator,1.6.2.3,
page_10.png,APL-6g,"Vary actions on purpose to solve a problem (bang, then turn shape to fit in sorter; shake handle, then pull, to open a drawer). APL-6g",developmental_indicator,1.6.2.4,
page_10.png,,Older Toddlers,label,1.6.3,
page_10.png,APL-6h,Try a variety of strategies to get what they want or solve a problem. APL-6h,developmental_indicator,1.6.3.1,
,APL-6i,"Use language to obtain
help to solve a problem
(tell adults, �My car
broke.�).",developmental_indicator,1.6.3.2,
page_10.png,APL-6j,"Use materials in new ways to explore and solve problems (bring a big spoon to the sand table when all of the shovels are in use, pile blocks on a towel and drag them across the floor when there are too many to carry). APL-6j",developmental_indicator,1.6.3.3,
