filename,statement,type,role,smartlevel
page_46.png,statement,type,role,smartlevel
page_46.png,The child participates in activities requiring the development of self-help skills.,standard,,4
page_46.png,Young Infant: 0-8 months,age_range,,4.1
page_46.png,The Baby May: Begin to participate in self-help activities.,age_range,,4.1
page_46.png,Develop own schedule of feeding and sleeping.,baby_might,baby,4.1.2
page_46.png,Develop self-soothing skills.,baby_might,baby,4.1.3
page_46.png,Begin to mouth and gum solid foods.,baby_might,baby,4.1.4
page_46.png,Attempt to feed self.,baby_might,baby,4.1.5
page_46.png,Respect individual differences by adjusting the pace of feeding to the infant's preference.,teacher_can,teacher,4.1.1
page_46.png,Recognize and follow the infant's changing patterns (time and amount needed) for eating and sleeping.,teacher_can,teacher,4.1.2
page_46.png,"Be responsive to individual comfort needs to help an infant feel secure. Some infants suck their thumb or use a pacifier. (For example: participate in responsive practices such as holding, rubbing, rocking, patting, hugging, adjusting lighting and noise levels. Swaddling is ONLY for ages birth-3 months using an infant-size thin fabric such as a receiving blanket and with parental permission).",teacher_can,teacher,4.1.3
page_46.png,Consult with the family to follow pediatric guidelines when introducing solid foods.,teacher_can,teacher,4.1.4
page_46.png,Give opportunities for an infant to assist in holding a bottle when he/she is able.,teacher_can,teacher,4.1.5
page_52.png,statement,type,role,smartlevel
page_52.png,The Toddler May: Show increasing understanding of and initiate health and safety practices.,domain,,1.0
page_52.png,Show body awareness interest related to basic care routines.,standard,,1.1
page_52.png,Begin to recognize bodily functions and to show interest in using the bathroom instead of the diaper.,baby_might,baby,1.1.1
page_52.png,Respond to adult guidance and reminders related to health and follow basic safety practices.,baby_might,baby,1.1.2
page_52.png,Eat independently using child-sized dishes and utensils and exhibit food preferences,baby_might,baby,1.1.3
page_52.png,Have periods of picky eating or increased appetite; have a dislike for certain textures.,baby_might,baby,1.1.4
page_52.png,Communicate interest in dramatic play materials related to food and nutrition.,baby_might,baby,1.1.5
page_52.png,Encourage child to participate in health and care routines. (For example: wash and dry hands with assistance; put arms out when coat is being put on; assist in cleaning up a spill).,teacher_can,teacher,1.1.2
page_52.png,Work with families to coordinate timing and process for toilet learning.,teacher_can,teacher,1.1.3
page_52.png,Be aware of the child's elimination patterns in order to help him/her recognize times to use the potty  until he/ she can better self-regulate.,teacher_can,teacher,1.1.5
page_52.png,Accept spills and messes as a part of the learning process.,teacher_can,teacher,1.1.6
page_52.png,Offer foods without known choking hazards or possible allergic reactions.,teacher_can,teacher,1.1.7
page_52.png,Assist the child as needed in feeding him/herself and provide a cloth for the child to wipe his/her own face after eating.,teacher_can,teacher,1.1.8
page_52.png,Set developmentally appropriate expectations for a child in developing manners and etiquette.,teacher_can,teacher,1.1.9
page_52.png,Understand children's food preferences may change; inform families of differences in food consumption and any concerns.,teacher_can,teacher,1.1.10
page_52.png,Encourage a child's interest in and exploration of foods.  Roleplay with pretend food to model appropriate practices and manners. Understand families' cultural observances.,teacher_can,teacher,1.1.11
page_84.png,Unfortunately the image provided is a feedback form about Oklahoma's Early Learning Guidelines. It does not contain any actual standards,domains,age ranges or developmental actions that could be extracted into the requested spreadsheet format. The form simply asks general questions about the understandability and usefulness of the guidelines. To complete the task as specified,an image or document containing the actual detailed early learning standards would be needed.
page_47.png,statement,type,role,smartlevel
page_47.png,Mobile Infant: 6-18 months,age_range,,1.1
page_47.png,The Baby May: Demonstrate increased participation in self-help activities.,standard,,1.1.1
page_47.png,Begin to feed self by holding a bottle; imitating others; or using a spoon and cup.,baby_might,baby,1.1.1.1
page_47.png,Indicate wants through gestures and vocalizations.,baby_might,baby,1.1.1.2
page_47.png,Attempt to undress and dress self.,baby_might,baby,1.1.1.3
page_47.png,Gain more independence and self-regulation in rest habits.,baby_might,baby,1.1.1.4
page_47.png,Begin to assist in self-care by saying 'poopie' to indicate a diaper change is needed; or by getting a diaper; wiping his/her nose or washing hands.,baby_might,baby,1.1.1.5
page_47.png,Eat and drink with the child to model feeding skills (family style dining). Provide time and appropriate utensils and equipment for self-help such as unbreakable cups with handles; small spoons; bibs; paper towels for cleanup and items designed or adapted for a child's need or disability. For mixed-age groupings; have the infant/toddler sit with the older children when he/she is able to sit up in a highchair or booster seat.,teacher_can,teacher,1.1.1.1
