filename,Code,statement,type,smartlevel,,
,ATL,Approaches to Learning,domain,1,,
page_10.png,Standard 1,The child will demonstrate interest in learning through persistence and varying degrees of initiative curiosity sensory exploration and problem solving.,standard,1.1,,
page_10.png,,Young Infant: 0-8 months,age_range,1.1.1,,
page_10.png,,Notice and show interest in and excitement with familiar objects people and events.,developmental indicators,1.1.1.1,,
page_10.png,,React to new objects and sounds by becoming more quiet more active or changing his/her facial expressions.,developmental indicators,1.1.1.2,,
page_10.png,,Gaze attentively at teachers talking to them during caregiving routines such as feeding and diaper changing.,developmental indicators,1.1.1.3,,
page_10.png,,Consistently look reach for and mouth toys and objects Grasp release re-grasp and re-release an object.,developmental indicators,1.1.1.4,,
page_10.png,,Kick or grab a toy to see if it will repeat a sound and/or a motion.,developmental indicators,1.1.1.5,,
page_11.png,Mobile Infant: 6-18 months,The Baby May: Increase attention span and persist in repetitive tasks.,age_range,1.1.2,,
page_11.png,,Show persistence by dropping a toy or object and looking for it; wanting to hear the same song or story over and over again; or repeating the same activity.,developmental indicators,1.1.2.1,,
page_11.png,,Use multiple senses at one time to explore objects by looking; touching; mouthing and banging.,developmental indicators,1.1.2.2,,
page_11.png,,Show pleasure and encourage continued interaction by vocalizing and smiling when he/she is being read to; talked to or sung to.,developmental indicators,1.1.2.3,,
page_11.png,,Explore spatial relationships by attempting to fit his/her body in boxes or tunnels.,developmental indicators,1.1.2.4,,
page_11.png,,Pretend to do a task he/she has observed (For example: use a toy key to lock and unlock a door or feed a baby doll a bottle).,developmental indicators,1.1.2.5,,
page_11.png,Toddler: 16-36 months,The Toddler May: Explore relationships and the environment independently and with purpose.,age_range,1.1.3,,
page_12.png,,Play beside other children and imitate the play of another child.,developmental indicators,1.1.3.1,,
page_12.png,,Engage in pretend play around familiar event. Substitute objects and toys for real items such as using a block as food as they pretend to prepare dinner.,developmental indicators,1.1.3.2,,
page_12.png,,Seek and take pleasure in new skills; independence and appropriate risk-taking activities.,developmental indicators,1.1.3.3,,
page_12.png,,Enjoy opportunities to use art materials in various ways.,developmental indicators,1.1.3.4,,
page_12.png,,Experiment with cause and effect,developmental indicators,1.1.3.5,,
page_12.png,,Show curiosity by trying to figure out how something works; may try several strategies before finding what works.,developmental indicators,1.1.3.6,,
page_14.png,,Creative Skills,domain,2,,
page_14.png,Standard 1,The child participates in activities to foster individual creativity.,standard,2.1,,
page_14.png,Young Infant: 0-8 months,The Baby May: Respond to or show interest in sights and sounds in the environment.,age_range,2.1.1,,
page_14.png,,Look at smile or coo at faces and simple designs.,developmental indicators,2.1.1.1,,
page_14.png,,Focus on and respond to facial expression and voice tones. Respond to adult's initiations of play activity by smiling or cooing.,developmental indicators,2.1.1.2,,
page_14.png,,Respond to music in the environment by calming when hearing a lullaby or turning head and moving arms and legs when hearing fast music.,developmental indicators,2.1.1.3,,
page_14.png,,Enjoy producing music and other sounds with rattles and bells.,developmental indicators,2.1.1.4,,
page_15.png,Mobile Infant: 6-18 months,The Baby May: Begin to understand his/her worldby using senses to explore and experience the environment.,age_range,2.1.2,,
,,"Delight in ability to produce sounds (smacks lips, squeals
on purpose). Start to discover musical rhythm and create
sounds by banging everyday objects. ",developmental indicators,2.1.2.1,,
page_15.png,,Respond to and show preference for familiar songs and tunes. May like to hear or sing the same tune over and over.,developmental indicators,2.1.2.2,,
page_15.png,,Engage in imitation play; begin to fantasize and perform simple roleplay.,developmental indicators,2.1.2.3,,
,,"Begin to experiment with art materials. Hold large caryons, paintbrushes, markers or chalk, move them between hands and engage in random marks and scribbling",developmental indicators,2.1.2.4,,
page_16.png,,"Participate in and enjoy a variety of tactile/sensory experiences such as water, textures, etc",developmental indicators,2.1.2.5,,
,Toiddler: 16-36 months,"The Toddler May: Begin to express thoughts and feelings through creative movement, music and dramatic activities",age_range,2.1.3,,
,,"Learn words to simple songs, participate in group singing activities for short periods of time; and move freely in response to music and change of tempo",developmental indicators,2.1.3.1,,
page_16.png,,Engage in spontaneous and imaginative play using a variety of materials to dramatize stories and experiences. Use a block for a phone or a box for a train.,developmental indicators,2.1.3.2,,
page_16.png,,"Create art representing people, objects and places. Tell about the art they created, what it is and what the action might be. Marks on the page could be  the family.",developmental indicators,2.1.3.3,,
page_18.png,C,Communication skills and early literacy (language arts),domain,3,,
page_18.png,Standard 1,Receptive (Listening):The child hears and responds to sounds in the environment.,standard,3.1,,
page_18.png,Young Infant: 0-8 months,The Baby May: Demonstrate awareness of communication through listening and observing.,age_range,3.1.1,,
page_18.png,,Startle or cry when a loud noise is heard.,developmental indicators,3.1.1.1,,
page_18.png,,Turn to look at teacher's face when he/she speaks or smiles in response to the teacher's smile.,developmental indicators,3.1.1.2,,
page_18.png,Mobile Infant: 6-18 months,"The Baby May: Begin to recognize sounds and/or spoken
words for familiar objects, people and simple requests.",age_range,3.1.2,,
page_19.png,,Look toward the teacher and smile when his/her name is spoken.,developmental indicators,3.1.2.1,,
page_19.png,,"Look, point and use gestures.",developmental indicators,3.1.2.2,,
page_19.png,,Point to objects to draw teacher's attention.,developmental indicators,3.1.2.3,,
,Toddler: 16-36 months,"The Toddler May: Begin to understand more requests and detailed statements
referring to positions in space, places, ideas, actions, people and feelings. ",age_range,3.1.3,,
page_19.png,,Recognize familiar songs and books. (For example: start to sing parts of a familiar song).,developmental indicators,3.1.3.1,,
page_19.png,,"Understand pronouns such as me, mine, yours, him and her.",developmental indicators,3.1.3.2,,
page_19.png,,"Follow simple one-step, later two-step directions. (For example: pick up a cup when asked by teacher or pick up a toy and put it away).",developmental indicators,3.1.3.3,,
page_19.png,,Recognize familiar places by logos.,developmental indicators,3.1.3.4,,
,Standard 2,"Expressive (Speaking/Vocabulary): The Child expresses needs, thoughts, and interests through geustures, sounds or words.",,3.2,,
page_20.png,Young Infant: 0-8 months,"The Baby May: Demonstrate increasing abillity to express
wants, needs, thoughts and feelings.",age_range,3.2.1,,
page_20.png,,Make sounds or cries of varying intensity and pitch.,developmental indicators,3.2.1.1,,
,,"Communicate through facial expression or body
movement. (For example: turns toward sound, smiles,
squeals, says ‘mmmm’ while sucking, etc.). ",developmental indicators,3.2.1.2,,
page_20.png,,"Use gestures, babbles, sounds or body language to
communicate. Reach out to caregiver, point to items they
can see, or coo with one or two consonants with several
vowels. ",developmental indicators,3.2.1.3,,
,,Laugh aloud,developmental indicators,3.2.1.4,,
page_21.png,Mobile Infant: 6-18 months,The Baby May: Demonstrate an increasing ability to communicate.,age_range,3.2.2,,
page_21.png,,Point and babble with inflections similar to adult speech.,developmental indicators,3.2.2.1,,MESSED UP ORDER
page_21.png,,Attempt to sing.,developmental indicators,3.2.2.2,,
page_21.png,,"Communicate with gestures. Use Baby Sign Language, American Sign Language or other familiar gestures such as wave goodbye when prompted.",developmental indicators,3.2.2.3,,
,,"Communicate with one word sentences. Begin using
descriptive words such as down, more, big, and up. ",,3.2.2.4,,
page_22.png,Toddler: 16-36 months,The Toddler May: Demonstrate increasing ability to combine sounds and simple words to express meaning and to communicate.,age_range,3.2.3,,
page_22.png,,Begin to combine two words use simple sentences and expand sentence length as vocabulary increases.,developmental indicators,3.2.3.1,,
page_22.png,,Use language to communicate with other children and adults throughout daily activities. May show frustration when not understood.,developmental indicators,3.2.3.2,,
page_22.png,,Begin using 's' at the end of some words such as wants trucks and mouses.,developmental indicators,3.2.3.3,,
page_22.png,,Begin to name items from pictures.,developmental indicators,3.2.3.4,,
page_22.png,,Attempt to sing songs with words and later sing phrases of songs.,developmental indicators,3.2.3.5,,
,Literacy Standard 3,"Print Awareness: The child will begin to recognize familiar faces, patterns, symbols and logos in the environment.",,3.3,,
page_23.png,Young Infant: 0-8 months,"The Baby May: Demonstrate an interest
in human faces, patterns, colors and familiar pictures. ",age_range,3.3.1,,
page_23.png,,Repeatedly stare at faces or patterns on objects.,developmental indicators,3.3.1.1,,
page_23.png,,Respond in a physical way to books or other print byputting it in his/her mouth or grabbing at pages.,developmental indicators,3.3.1.2,,
page_23.png,,"Show a preference by reaching for or looking at a favorite
book, page or picture. ",,3.3.1.3,,
,Mobile Infant: 6-18 months,"The Baby May: Demonstrate an increasing
awareness of familiar books, signs and symbols. ",age_range,3.3.2,,
,,"Make movements and sounds or words in response to
pictures and books by pointing, patting, or kissing favorite
pictures in a book. ",,3.3.2.1,,
page_23.png,,Begin to recognize signs and symbols frequently seen bynaming or pointing to logos and signs.,developmental indicators,3.3.2.2,,
,,"Pretend to read books by holding the books and looking
at pictures as if reading. Hold books upside down or
backwards, turning pages from back to front.",,3.3.2.3,,
,Toddler: 16-36 months,"The Toddler May: Demonstrate interest in and enjoyment of
looking at books, participating in reading and telling stories. ",age_range,3.3.3,,
page_24.png,,Listen to a story and look at the pictures and words in print as the teacher reads a story. Ask to have the same book read several times; will carry the book around and show it to others; pretend to read.,developmental indicators,3.3.3.1,,
page_24.png,,Choose books independently and begins to understand how to care for books.,developmental indicators,3.3.3.2,,
,,"Identify and talk about pictures in books. Say a phrase or word over and over from a book, finger play or song. Begin to anticipate what happens next in the story.",,3.3.3.3,,
page_24.png,,Start to recognize print and/or pictures in the environment. May say letter(s) in his/her name.,developmental indicators,3.3.3.4,,
page_24.png,,Pretend to write a letter or story.,developmental indicators,3.3.3.5,,
,Standard 4,"Comprehension: The child will attach meaning
to sounds, gestures, signs and words heard. ",standard,3.4,,
page_25.png,Young Infant: 0-8 months,The Baby May: Begin to respond to sounds in the environment.,age_range,3.4.1,,
page_25.png,,Startle or turn in the direction of sounds in the environment.,developmental indicators,3.4.1.1,,
page_25.png,,Respond to familiar words or gestures. Stop crying when an adult says bottle or goodbye.,developmental indicators,3.4.1.2,,
page_25.png,Mobile Infant: 6-18 months,The Baby May: Begin to follow simple directions and demonstrate understanding of home and/or English language.,age_range,3.4.2,,
page_25.png,,Recognize familiar social games and routines.,developmental indicators,3.4.2.1,,
page_25.png,,Respond to simple questions or requests.,developmental indicators,3.4.2.2,,
,,"Point to objects, pictures and body parts as part of
interactions with adults. ",,3.4.2.3,,
page_26.png,Toddler: 16-36 months,The Toddler May: Demonstrate understanding of the meaning of stories; social games; songs and poems; begin to understand more abstract ideas; feelings; positions in space; and begin to be involved in limited conversation.,age_range,3.4.3,,
page_26.png,,Demonstrate an understanding of language spoken at home.,toddler_might,3.4.3.1,,
page_26.png,,Listen and respond to one and two-step directions; stories; rhymes or finger plays.,toddler_might,3.4.3.2,,
page_26.png,,Answer simple questions.,toddler_might,3.4.3.3,,
page_26.png,,Begin to understand the sequence or order of a story. Tell a story from imagination or experience.,toddler_might,3.4.3.3,,
,Standard 5,"PRE-WRITING: The child will explore different tools that will lead to making random marks, scribbles and pictures.",standard,3.5,,
page_27.png,Young Infant: 0-8 months,The Baby May: Begin to develop eye-hand coordination and intentional hand control.,age_range,3.5.1,,
page_27.png,,Reach grasp and put objects in his/her mouth,developmental indicators,3.5.1.1,,
page_27.png,,Bring hands together to middle of body hold toys with both hands or pass objects from one hand to the other,developmental indicators,3.5.1.2,,
page_27.png,Mobile Infant: 6-18 months,The Baby May: Continue to develop small (fine) motor skills and incorporate more large (gross) motor skills that are used in pre-writing,age_range,3.5.2,,
page_27.png,,Use his/her fingers or hand to grasp large crayon marker or other tool with a whole fist and make strokes lines or scribbles randomly on paper and other surfaces,developmental indicators,3.5.2.1,,
page_27.png,,Use thumb and forefinger to pick up items (pincer grasp),developmental indicators,3.5.2.2,,
page_27.png,,Develop midline skills such as holding large crayons and transferring them from one hand to the other,developmental indicators,3.5.2.3,,
page_27.png,,Begin to recognize the relationship between familiar pictures and printed words,developmental indicators,3.5.2.4,,
page_28.png,Toddler: 16-36 months,The Toddler May: Continue to develop small (fine) motor and large (gross) motor skills that are used in pre-writing.,age_range,3.5.3,,
page_28.png,,Hold a large crayon or writing tool with a whole fist grasp and scribble with increasing levels of control.,developmental indicators,3.5.3.1,,
,,"Explore drawing, painting and writing as a way of communicating.",,3.5.3.2,,
page_28.png,,Tell teacher about drawing.,,3.5.3.3,,
page_30.png,,MATHEMATICS,domain,4,,
page_30.png,STANDARD 1,The child will begin to develop awareness of patterns in the environment.,standard,4.1,,
page_30.png,Young Infant: 0-8 months,The Baby May: Demonstrate expectations for familiar sequences of event.,age_range,4.1.1,,
page_30.png,,Focus on pictures and patterns.,developmental indicators,4.1.1.1,,
page_30.png,,"Kick feet, wave arms or smile. (For example: when bottle is seen in expectation of being fed).",developmental indicators,4.1.1.2,,
page_30.png,,Pick up and mouth objects.,developmental indicators,4.1.1.3,,
page_31.png,Mobile Infant: 6-18 months,"The Baby May: Begin to recognize similarities and differences,including familiar and unfamiliar people, objects and routines.",age_range,4.1.2,,
page_31.png,,Show anticipation of daily events such as move to the table after handwashing without the teacher's instruction.,developmental indicators,4.1.2.1,,
page_31.png,,Begin to be aware of differences between shapes colors and textures.,developmental indicators,4.1.2.2,,
page_31.png,,Show preference for a special blanket toy or activity.,developmental indicators,4.1.2.3,,
page_31.png,Toddler: 16-36 months,The Toddler May: Begin to demonstratean understanding of patterns in the environment.,age_range,4.1.3,,
page_31.png,,Show interest in patterns in finger plays nursery rhymes or songs.,developmental indicators,4.1.3.1,,
page_31.png,,Recognize objects have specific places where they belong and similar objects may be grouped together.,developmental indicators,4.1.3.2,,
page_31.png,,Match objects to pictures.,developmental indicators,4.1.3.3,,
page_31.png,,Recognize patterns.,developmental indicators,4.1.3.4,,
page_32.png,Standard 2,Spatial Awareness/Geometry : Children become aware of themselves in relation to objects and structures around them.,standard,4.2,,
page_32.png,,Young Infant: 0-8 months,age_range,4.2.1,,
page_32.png,,The Baby May: Experience differences in his/her location his/her position and the position of objects in the environment.,standard,4.2.1,,
page_32.png,,Show a preference for how he/she is held by the caregiver.,developmental indicators,4.2.1.1,,
page_32.png,,Extend his/her arms and legs to touch or kick objects.,developmental indicators,4.2.1.2,,
page_32.png,,Feel objects. Wrap hands around or pat a bottle during feeding.,developmental indicators,4.2.1.3,,
page_32.png,Mobile Infant: 6-18 months,The Baby May: Begin moving with purpose.,age_range,4.2.2,,
,,"Begin to become mobile by rolling over, sitting up,crawling, or walking. Reach for a person or a toy.",developmental indicators,4.2.2.1,,
,,"Manipulate three-dimensional objects by picking up,examining and throwing.",developmental indicators,4.2.2.2,,
page_33.png,Toddler: 16-36 months,The Toddler May: Explore materials and space by handling  building  moving and manipulating.,age_range,4.2.3,,
page_33.png,,Build and explore structures of various sizes using boxes  blocks  sand molds  pots and pans.,toddler_might,4.2.3.1,,
page_33.png,,Begin to be aware of names of shapes.,toddler_might,4.2.3.2,,
page_33.png,,Learn to manipulate his/her body in relation to people and objects around them. The child might sit on another child with the intention of sitting beside the child.,toddler_might,4.2.3.3,,
page_34.png,Standard 3,Number Sense: The child will begin to develop an awareness of quantity.,standard,4.3,,
page_34.png,Young Infant: 0-8 months,The Baby May: Begin to explore objects in the environment  developing a foundation for number awareness.,standard,4.3.1,,
page_34.png,,Reach for more toys.,developmental indicators,4.3.1.1,,
page_34.png,,Show enjoyment when being read a book.,developmental indicators,4.3.1.2,,
page_34.png,Mobile Infant: 6-18 months,The Baby May: Begin to show interest in characteristics of objects such as size or quantity.,age_range,4.3.2,,
page_34.png,,Show an interest in singing and begin to participate in songs about numbers and counting.,developmental indicators,4.3.2.1,,
page_34.png,,Fill containers with objects and empty them out.,developmental indicators,4.3.2.2,,
page_34.png,,Begin to use symbols  signs and language to show wanting more.,developmental indicators,4.3.2.3,,
page_34.png,,Match objects one to one like finding a lid for each container.,developmental indicators,4.3.2.4,,
page_34.png,,Begin to nest objects inside of one another.,developmental indicators,4.3.2.5,,
,Toddler: 16-36 months,"The Toddler May: Begin to develop an understanding of numbers, the counting process and making comparisons (measurement).",age_range,4.3.3,,
,,Match one to one with larger quantities. ,developmental indicators,4.3.3.1,,
,,"Connect language to concept and understand thedifferences in specific quantity and size by saying wordsand phrases such as more milk, two eyes, or “He has more than me!”",developmental indicators,4.3.3.2,,
page_37.png,,Physical Development,domain,5,,
page_37.png,Standard 1,Large Muscle Development ‚The child participates in activities involving large motor skills.,standard,5.1,,
page_37.png,Young Infant: 0-8 months,"The Baby May: Demonstrate basic movements. (For example: lifting and controlling head, developing abdominal muscles, moving arms and legs, rolling over, sitting with and without support and beginning creeping).",age_range,5.1.1,,
page_37.png,,Turn head from side to side.,developmental indicators,5.1.1.1,,
page_37.png,,Raise head off floor.,developmental indicators,5.1.1.2,,
page_37.png,,Kick feet and move hands.,developmental indicators,5.1.1.3,,
page_37.png,,Push head and chest up off the floor.,developmental indicators,5.1.1.4,,
page_37.png,,Roll over.,developmental indicators,5.1.1.5,,
page_37.png,,Sit with support.,developmental indicators,5.1.1.6,,
page_37.png,,Sit without support.,developmental indicators,5.1.1.7,,
page_37.png,,Rock back and forth on hands and knees and begin to scoot and crawl. Move backward while trying to go forward.,developmental indicators,5.1.1.8,,
page_37.png,,Stand firmly on legs with assistance while in teachers lap.,developmental indicators,5.1.1.9,,
page_38.png,Mobile Infant: 6-18 months,The Baby May: Demonstrate basic locomotor movements.,age_range,5.1.2,,
page_38.png,,Creep and crawl.,developmental indicators,5.1.2.1,,
page_38.png,,Pull self to standing by holding on to furniture or a person. Stand alone with and without support.,developmental indicators,5.1.2.2,,
page_38.png,,Walk with assistance.,developmental indicators,5.1.2.3,,
page_38.png,,Walk without support.,developmental indicators,5.1.2.4,,
page_38.png,,Climb into chair and seat self.,developmental indicators,5.1.2.5,,
page_38.png,,Walk up and down stairs.,developmental indicators,5.1.2.6,,
page_38.png,,The Baby May: Use large arm movements (non-locomotor).,age_range,5.1.3,,
page_38.png,,Bang toys and objects on table or floor.,developmental indicators,5.1.3.1,,
page_38.png,,Throw balls or objects and move arms up or down with purpose.,developmental indicators,5.1.3.2,,
page_38.png,,Use rhythm instruments.,developmental indicators,5.1.3.3,,
