Human Coding Scheme,Full Statement,Type,Smart Level
15 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL),monthsLater Infancy,Developmental Indicator,0-8
15 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL),monthsEarly Toddler,Developmental Indicator,6-14
15 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL),monthsLater Toddler,Developmental Indicator,12-24
15 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL),monthsEarly Preschool,Developmental Indicator,22-36
15 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL),monthsLater Preschool,Developmental Indicator,34-48
15 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL),months,Developmental Indicator,44-60
15 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL),Shows awareness of,Indicator,
15 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL),Shows excitement,Indicator,
15 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL),Shows interest and,Indicator,
15 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL),Seeks out new,Indicator,
15 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL),Shows eagerness to,Indicator,
learn about a variety of topics (APL1.1j) 16 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL),monthsLater Infancy,Developmental Indicator,0-8
learn about a variety of topics (APL1.1j) 16 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL),monthsEarly Toddler,Developmental Indicator,6-14
learn about a variety of topics (APL1.1j) 16 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL),monthsLater Toddler,Developmental Indicator,12-24
learn about a variety of topics (APL1.1j) 16 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL),monthsEarly Preschool,Developmental Indicator,22-36
learn about a variety of topics (APL1.1j) 16 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL),monthsLater Preschool,Developmental Indicator,34-48
learn about a variety of topics (APL1.1j) 16 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL),months,Developmental Indicator,44-60
