Age Group,Type,Developmental Indicator,Focus Area,SmartLevel,filename,Area,Sub Area
Early Infancy (0-8 months),indicator,Repeats actions (eg. making noise or expresion) to get repeated adul reaction,CD1.2. Testing questions and ideas,p12,page_46.png,COGNITIVE DEVELOPMENT (CD),D1. SCIENCE: THE NATURAL AND PHYSICAL WORLD
Later Infancy (6-14 months),indicator,"Looks for verbal, ial and gemural cues fom Mult about whether to continue or stop an activity",CD1.2. Testing questions and ideas,CD12,page_46.png,COGNITIVE DEVELOPMENT (CD),D1. SCIENCE: THE NATURAL AND PHYSICAL WORLD
Later Infancy (6-14 months),indicator,Enjoys arching for objects within reach but hidden from view (egsunder a Bankes),CD1.2. Testing questions and ideas,br24,page_46.png,COGNITIVE DEVELOPMENT (CD),D1. SCIENCE: THE NATURAL AND PHYSICAL WORLD
Later Infancy (6-14 months),indicator,Uses ale help to explore toys and tmatetias ro dscover how they work,CD1.2. Testing questions and ideas,CD12,page_46.png,COGNITIVE DEVELOPMENT (CD),D1. SCIENCE: THE NATURAL AND PHYSICAL WORLD
Early Toddler (12-24 months),indicator,Conrnes pay Nove difeenes ecalweinsnte of anongmassuchas Sheceinguocns oe nsadaee,CD1.2. Testing questions and ideas,CD13q,page_46.png,COGNITIVE DEVELOPMENT (CD),D1. SCIENCE: THE NATURAL AND PHYSICAL WORLD
Early Toddler (12-24 months),indicator,Siete Shows more pebetoms foneumpletaiste,CD1.2. Testing questions and ideas,D123,page_46.png,COGNITIVE DEVELOPMENT (CD),D1. SCIENCE: THE NATURAL AND PHYSICAL WORLD
Infant,indicator,Explores objects of different sizes and shapes,CD3.3. Geometric thinking and spatial reasoning.,CD3.3a,page_52.png,COGNITIVE DEVELOPMENT (CD),CD3. MATHEMATICS
Younger Toddler,indicator,Fits objects together by stacking items on another and placing them side by side,CD3.3. Geometric thinking and spatial reasoning.,CD3.3b,page_52.png,COGNITIVE DEVELOPMENT (CD),CD3. MATHEMATICS
Older Toddler,indicator,Uses blocks or found material to represent simple construction such as a road or a room,CD3.3. Geometric thinking and spatial reasoning.,CD3.3g,page_52.png,COGNITIVE DEVELOPMENT (CD),CD3. MATHEMATICS
Older Toddler,indicator,"Responds to and use words describing place in space such as ""next to"", ""inside of"", ""under""",CD3.3. Geometric thinking and spatial reasoning.,CD3.3f,page_52.png,COGNITIVE DEVELOPMENT (CD),CD3. MATHEMATICS
Older Toddler,indicator,Stacks 4 or more blocks or items vertically,CD3.3. Geometric thinking and spatial reasoning.,CD3.3d,page_52.png,COGNITIVE DEVELOPMENT (CD),CD3. MATHEMATICS
Younger Preschool,indicator,Uses words that describe and compare shapes in the environment,CD3.3. Geometric thinking and spatial reasoning.,CD3.3l,page_52.png,COGNITIVE DEVELOPMENT (CD),CD3. MATHEMATICS
Younger Preschool,indicator,"Recognizes and names a typical circle, square, and sometimes triangle",CD3.3. Geometric thinking and spatial reasoning.,CD3.3h,page_52.png,COGNITIVE DEVELOPMENT (CD),CD3. MATHEMATICS
Younger Preschool,indicator,Matches some shapes that are different sizes or orientations with adult support,CD3.3. Geometric thinking and spatial reasoning.,CD3.3k,page_52.png,COGNITIVE DEVELOPMENT (CD),CD3. MATHEMATICS
