Human Code,Full Statement,Type,SmartLevel
AL,Approaches to Learning,,1
Executive Functioning and Cognitive Self-Regulation,"Sustain attention, impulse control, flexibility in thinking",Cluster,1.1
AL.PK.1,Illustrate increasing abilities in impulse control.,Standard,1.1.1
AL.PK.2,"Demonstrate actions, words, and behaviors with increasing independence.",Standard,1.1.2
Initiative and Curiosity,"Interest in varied topics and experiences, desire to learn, creativeness, and independence in learning",Cluster,1.2
AL.PK.3,"Demonstrate flexibility, imagination, and inventiveness in approaching tasks and activities.",Standard,1.2.1
AL.PK.4,Originate and combine ideas to learn and discuss a range of topics.,Standard,1.2.2
AL.PK.5,Inquire and investigate.,Standard,1.2.3
Persistence and Attentiveness,Engagement in activities with persistence and attention,Cluster,1.3
AL.PK.6,"Persist in completing tasks, activities, projects, and experiences.",Standard,1.3.1
AL.PK.7,Increase concentration over a reasonable amount of time despite distractions and interruptions.,Standard,1.3.2
AL.PK.8,Engage in project or activity over an extended period of time.,Standard,1.3.3
AL.PK.9,"Continuously create, develop, and implement plans.",Standard,1.3.4
AL.PK.10,"Seek solutions to questions, tasks, or problems through trial and error.",Standard,1.3.5
Cooperation,Interest and engagement in group experiences,Cluster,1.4
AL.PK.11,Initiate and engage in learning experiences and play with peers.,Standard,1.4.1
AL.PK.12,Relate and share knowledge with peers.,Standard,1.4.2
AL.PK.13,Assemble and guide classroom activities.,Standard,1.4.2
SE,Social-Emotional Standards,,2
Self-Concept,Development of Self-Concept,Cluster,2.1
SE.PK.1,"Describe themselves by using physical characteristics/traits (e.g., hair, body parts, and height).",Standard,2.1.1
SE.PK.2,Demonstrate growing confidence in their own developing skills and expresses pride in accomplishments.,Standard,2.1.2
SE.PK.3,"Increase independence in a variety of activities, routines, and tasks.",Standard,2.1.3
Self-Expression and Self-Awareness,Development of Self-Expression and Self-Awareness,Cluster,2.2
SE.PK.4,"Demonstrate progress in expressing needs, wants, and feelings.",Standard,2.2.1
SE.PK.5,Express a broad range of emotions and recognize these emotions in self and others.,Standard,2.2.2
SE.PK.6,Respond appropriately to different social situations.,Standard,2.2.3
Social Relationships,Development and Demonstration of Pro-Social Behaviors,Cluster,2.3
SE.PK.7,Develop positive relationships with children and adults.,Standard,2.3.1
SE.PK.8,Show empathy and caring for others.,Standard,2.3.2
SE.PK.9,Follow basic rules and routines.,Standard,2.3.3
SE.PK.10,"Use materials purposefully, safely, and responsibly.",Standard,2.3.4
SE.PK.11,Develop and sustain friendships with peers.,Standard,2.3.5
SE.PK.12,Manage transitions and begin to adapt to changes in routines.,Standard,2.3.6
Cooperation,Interest and engagement in group experiences,Cluster,2.4
SE.PK.13,Use communication skills to initiate or join classroom activities.,Standard,2.4.1
SE.PK.14,Engage in cooperative play.,Standard,2.4.2
SE.PK.15,Take turns with materials and during experiences.,Standard,2.4.3
SE.PK.16,"Use and accept negotiation, compromise, and discussion to resolve conflicts.",Standard,2.4.4
SE.PK.17,Accept guidance and direction from a variety of familiar adults.,Standard,2.4.5
SE.PK.18,Participate in a variety of classroom activities and tasks.,Standard,2.4.6
Knowledge of Family and Community,Progression of Understanding of Their Role in the Family and Community,Cluster,2.5
SE.PK.19,Understand and describe the interactive roles and relationships among family members.,Standard,2.5.1
SE.PK.20,Identify and describe roles of community members.,Standard,2.5.2
