Item Type,Sequence,Human Code,Full Statement,Abbreviated Statement,Notes,Supp. Info,Ed. Level,Language,Rewritten Statement
Domain,2,ATL,Domain #1: Approaches to Learning,,,,,,
Standard,2.1,ATL.1,Child manages emotions with increasing independence,,,,,,
Label,2.1.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,2.1.1.1,,Calms when held by a familiar caregiver,,,,,,
Label,2.1.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,2.1.2.1,,Smiles or vocalizes in response to familiar voices.,,,,,,
Label,2.1.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,2.1.3.1,,"Initiates simple interactions, like holding hands.",,,,,,
Label,2.1.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,2.1.4.1,,Seeks adults for comfort during challenges,,,,,,
Label,2.1.5,,Preschool Learning Outcome (BASE) (36-48),,,,,,
Developmental Milestones,2.1.5.1,P-ATL.1.a,"""Child can identify and articulate their own emotions.""",,,,,,
Developmental Milestones,2.1.5.2,P-ATL.1.b,"""Child utilizes appropriate coping strategies to handle negative emotions.""",,,,,,
Developmental Milestones,2.1.5.3,P-ATL.1.c,"""Child independently resolves emotional distress or conflict, and can return to play or tasks.""",,,,,,
Label,2.1.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,2.1.6.1,I.A.4,Manages emotions,,,,PK,,Shows feelings with facial expressions or sounds.
Developmental Milestones,2.1.6.2,I.A.4.a,Identifies and Names Emotions,,,,PK,,"- Points to pictures and says the emotion word like ""happy"" or ""sad."""
Developmental Milestones,2.1.6.3,I.A.4.b,Expresses Emotions Appropriately,,,,PK,,"Shows feelings with smiles, laughs, or cries."
Developmental Milestones,2.1.6.4,I.A.4.c,Regulates Emotions,,,,PK,, Shows feelings in a calm way.
Standard,2.2,ATL.2,Child follows classroom rules and routines with increasing independence,,,,,,
Label,2.2.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,2.2.1.1,,Shows recognition of familiar routines through calmness or anticipation,,,,,,
Label,2.2.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,2.2.2.1,,"Participates in simple routines, such as putting toys in a bin when encouraged.",,,,,,
Label,2.2.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,2.2.3.1,,"Begins anticipating steps in routines, like washing hands before eating.",,,,,,
Label,2.2.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,2.2.4.1,,"Participates in group routines, such as lining up or cleaning up toys",,,,,,
Label,2.2.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,2.2.5.1,P-ATL.2.a,Understanding and recalling classroom rules,,,,,,
Developmental Milestones,2.2.5.2,P-ATL.2.b,Applying routines independently,,,,,,
Developmental Milestones,2.2.5.3,P-ATL.2.c,Adaptability to changes in rules and routines,,,,,,
Label,2.2.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,2.2.6.1,I.A.1,Follows classroom rules,,,,PK,,Listens to simple instructions.
Developmental Milestones,2.2.6.2,I.A.1.a,Recognizes and Understands Classroom Rules,,,,PK,,Follows simple rules during playtime.
Developmental Milestones,2.2.6.3,I.A.1.b,Applies Classroom Rules in Daily Routine,,,,PK,,Follows simple rules during playtime.
Developmental Milestones,2.2.6.4,I.A.1.c,Exhibits Respect for Classroom Rules,,,,PK,,"Follows simple rules, like sharing toys or sitting during story time."
Standard,2.3,ATL.3,Child appropriately handles and takes care of classroom materials,,,,,,
Label,2.3.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,2.3.1.1,,Grasps and explores objects with curiosity.,,,,,,
Label,2.3.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,2.3.2.1,,Begins to place items in designated spaces with guidance.,,,,,,
Label,2.3.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,2.3.3.1,,"Helps with simple clean-up tasks, such as putting books back on a shelf.",,,,,,
Label,2.3.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,2.3.4.1,,Begins to understand the value of taking care of shared materials.,,,,,,
Label,2.3.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,2.3.5.1,P-ATL.3.a,Child demonstrates understanding of rules for using materials,,,,,,
Developmental Milestones,2.3.5.2,P-ATL.3.b,Child actively participates in the cleaning and return of materials,,,,,,
Developmental Milestones,2.3.5.3,P-ATL.3.c,Child displays awareness of classmates' use of materials,,,,,,
Label,2.3.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,2.3.6.1,I.A.2,Takes care of classroom materials,,,,PK,,Puts toys back on the shelf after playing.
Developmental Milestones,2.3.6.2,I.A.2.a,Demonstrates Responsibility,,,,PK,,Helps clean up toys after playtime.
Developmental Milestones,2.3.6.3,I.A.2.b,Follows Usage Guidelines,,,,PK,,Uses objects or toys as intended during play.
Developmental Milestones,2.3.6.4,I.A.2.c,Engages in Clean-Up Activities,,,,PK,,Helps put toys away.
Standard,2.4,ATL.4,"Child manages actions, words, and behavior with increasing independence",,,,,,
Label,2.4.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,2.4.1.1,,Reacts to caregiver’s facial expressions and calming voice,,,,,,
Label,2.4.2,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,2.4.2.1,,Begins to stop or start actions based on simple verbal cues.,,,,,,
Label,2.4.3,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,2.4.3.1,,"Uses simple words to express needs or feelings instead of actions (e.g., “Mine!”).",,,,,,
Label,2.4.4,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,2.4.4.1,,Demonstrates self-control during transitions and group activities.,,,,,,
Label,2.4.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,2.4.5.1,P-ATL.4.a,Child can complete age-appropriate tasks with little to no assistance (Self-sufficiency).,,,,,,
Developmental Milestones,2.4.5.2,P-ATL.4.b,Child demonstrates control over emotions and can communicate feelings appropriately (Emotional regulation and communication).,,,,,,
Developmental Milestones,2.4.5.3,P-ATL.4.c,"Child follows rules and instructions, showing an understanding of appropriate behavior (Understanding and adherence to rules).",,,,,,
Label,2.4.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,2.4.6.1,I.A.3,Regulates own behavior,,,,PK,, Waits patiently when asked.
Developmental Milestones,2.4.6.2,I.A.3.b,Follows Rules and Routines,,,,PK,,Listens and follows simple instructions.
Developmental Milestones,2.4.6.3,I.A.3.a,Demonstrates Self-Control,,,,PK,,Stops and waits when asked.
Standard,2.5,ATL.5,Child demonstrates an increasing ability to control impulses,,,,,,
Label,2.5.1,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,2.5.1.1,,Waits briefly when attention is redirected.,,,,,,
Label,2.5.2,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,2.5.2.1,,Pauses actions when a caregiver says “no” or redirects.,,,,,,
Label,2.5.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,2.5.3.1,,"Attempts self-control with gestures or words (e.g., waiting before grabbing a toy).",,,,,,
Label,2.5.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,2.5.4.1,,"Controls impulses with guidance, such as refraining from interrupting.",,,,,,
Label,2.5.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,2.5.5.1,P-ATL.5.a,Child shows improvement in delaying immediate gratification for a bigger reward.,,,,,,
Developmental Milestones,2.5.5.2,P-ATL.5.b,"Child increasingly adheres to set rules and boundaries, demonstrating enhanced self-discipline.",,,,,,
Developmental Milestones,2.5.5.3,P-ATL.5.c,Child often utilizes problem-solving strategies instead of acting on initial impulses.,,,,,,
Label,2.5.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,2.5.6.1,I.B.1,Controls impulses,,,,PK,, Waits for a turn during play.
Developmental Milestones,2.5.6.2,I.B.1.b,Follows Instructions,,,,PK,, Listens and does what you ask.
Developmental Milestones,2.5.6.3,I.B.1.a,Practices Patience,,,,PK,, Waits calmly for their turn.
Developmental Milestones,2.5.6.4,I.B.1.c,Manages Emotions,,,,PK,," Shows feelings by smiling, crying, or laughing."
Standard,2.6,ATL.6,Child maintains focus and sustains attention with minimal adult support,,,,,,
Label,2.6.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,2.6.1.1,,Watches moving objects or faces for short periods.,,,,,,
Label,2.6.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,2.6.2.1,,"Focuses on activities, such as stacking blocks, for increasing durations.Engages with a single activity for a few minutes before seeking adult interaction.",,,,,,
Label,2.6.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,2.6.3.1,,"Resumes tasks after mild distractions, such as looking back at a toy after hearing a noise.",,,,,,
Label,2.6.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,2.6.4.1,,"Completes multi-step tasks with reminders (e.g., “Pick up the block and put it in the bin”).",,,,,,
Label,2.6.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,2.6.5.1,P-ATL.6.a,Child engages with a single activity for an extended period (5-10 minutes) without frequent redirection.,,,,,,
Developmental Milestones,2.6.5.2,P-ATL.6.b,Child follows simple instructions and completes short tasks with minimal reminders from adults.,,,,,,
Developmental Milestones,2.6.5.3,P-ATL.6.c,Child shows interest and curiosity by asking questions and exploring materials independently.,,,,,,
Label,2.6.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,2.6.6.1,I.B.3,Maintains focus (group activity),,,,PK,, Watches and Listens during group play.
Developmental Milestones,2.6.6.2,I.B.3.a,Sustains Attention,,,,PK,, Focuses on a toy or activity for a few minutes.
Developmental Milestones,2.6.6.3,I.B.3.b,Participates Cooperatively,,,,PK,,Shares toys during play.
Developmental Milestones,2.6.6.4,I.B.3.c,Resists Distraction,,,,PK,,- Stays focused on a toy or activity even when there's noise around.
Standard,2.7,ATL.7,Child persists in tasks,,,,,,
Label,2.7.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,2.7.1.1,,"Attempts to grasp objects or roll over, even after initial failure.",,,,,,
Label,2.7.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,2.7.2.1,,Seeks adult assistance if unable to complete a task independently.,,,,,,
Label,2.7.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,2.7.3.1,,"Tries multiple approaches to solve problems, such as stacking blocks after a tower falls.",,,,,,
Label,2.7.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,2.7.4.1,,Uses trial-and-error methods without giving up quickly.,,,,,,
Label,2.7.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,2.7.5.1,P-ATL.7.a,Developing focus,,,,,,
Developmental Milestones,2.7.5.2,P-ATL.7.b,Demonstrating adaptive skills,,,,,,
Developmental Milestones,2.7.5.3,P-ATL.7.c,Exhibiting perseverance,,,,,,
Label,2.7.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,2.7.6.1,I.B.2,Persists in task (individual),,,,PK,,Keeps trying to stack blocks even if they fall.
Developmental Milestones,2.7.6.2,I.B.2.a,Maintains Focus,,,,PK,, Looks at a toy or person for a few moments without getting distracted.
Developmental Milestones,2.7.6.3,I.B.2.b,Exhibits Determination,,,,PK,, Tries again and again to reach a toy.
Developmental Milestones,2.7.6.4,I.B.2.c,Shows Task Completion,,,,PK,, Finishes simple activities or games.
Developmental Milestones,2.7.6.5,I.B.2.d,Child shows understanding by following three-step verbal directions.,,,,PK,, Follows three simple steps when asked.
Standard,2.8,ATL.8,Child holds information in mind and manipulates it to perform tasks,,,,,,
Label,2.8.1,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,2.8.1.1,,Searches for partially hidden objects during play.,,,,,,
Label,2.8.2,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,2.8.2.1,,"Completes simple cause-and-effect tasks based on past experiences (e.g., pressing a button to hear a sound).",,,,,,
Label,2.8.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,2.8.3.1,,"Completes familiar sequences, like stacking blocks in order, using memory.",,,,,,
Label,2.8.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
