Domain,Subdomain,ATL Code,Standard,Indicator,Infants (INF 0-3),Infants (INF 3-6),Infants (INF 6-9),Infants (INF 9-12),Infants (INF 12-18),Toddler (TOD 18-36),Preschool (PRE 36-48),
Approaches to Learning,Emotional Regulation,ATL.1.a,Child Manages Emotions,ATL.1.a - Shows distress by crying; responds to caregiver comfort.,ATL.1.b - Begins to calm when held or soothed with familiar voices.,"ATL.1.c - Shows signs of self-soothing (e.g., sucks thumb); responds to comforting objects.","ATL.1.d - Uses gestures (e.g., reaching arms up) to communicate needs or seek comfort.",ATL.1.e - Recognizes familiar people and seeks comfort from them when upset.,ATL.1.f - Calms down with support from a familiar adult after becoming upset.,"ATL.1.g - Identifies and names own emotions and uses self-regulation strategies (e.g., deep breaths) with prompts.",,
,,,,"<sub>DC Early Learning Standards, Illinois Early Learning Guidelines</sub>","<sub>Colorado ELDG, Georgia GELDS</sub>",<sub>Head Start ELOF</sub>,<sub>Alabama DECE</sub>,<sub>Illinois Early Learning Guidelines</sub>,<sub>Pennsylvania Standards</sub>,<sub>Georgia GELDS</sub>,,
Approaches to Learning,Curiosity & Initiative,ATL.2.a,Child Shows Curiosity and Initiative,ATL.2.a - Looks intently at caregiver’s face and follows moving objects with eyes.,ATL.2.b - Turns toward sounds and begins to explore objects with hands and mouth.,"ATL.2.c - Explores objects with curiosity, such as mouthing toys or reaching out to touch.","ATL.2.d - Moves toward new objects with interest, often reaching to explore.",ATL.2.e - Demonstrates curiosity by pointing or moving toward new activities or objects.,"ATL.2.f - Explores new materials and activities independently, often engaging with objects to understand how they work.",ATL.2.g - Expresses curiosity by asking questions and experimenting with new materials or methods.,,
,,,,<sub>DC Early Learning Standards</sub>,<sub>Head Start ELOF</sub>,<sub>Colorado ELDG</sub>,<sub>DC Early Learning Standards</sub>,<sub>Alabama DECE</sub>,<sub>Georgia GELDS</sub>,<sub>Illinois Early Learning Guidelines</sub>,,
Approaches to Learning,Persistence,ATL.3.a,Child Demonstrates Persistence,ATL.3.a - Briefly attends to a face or simple object in close view.,"ATL.3.b - Maintains attention to simple toys or objects, such as grasping and releasing items.","ATL.3.c - Engages for longer with a preferred toy, repeating actions such as dropping and picking up.","ATL.3.d - Practices an activity, like stacking or banging, for multiple turns before switching.",ATL.3.e - Shows determination by trying different ways to stack blocks or fit objects.,"ATL.3.f - Attempts challenging tasks repeatedly, such as fitting puzzle pieces or building blocks.","ATL.3.g - Persists with tasks, showing resilience and creativity when faced with challenges.",,
,,,,<sub>DC Early Learning Standards</sub>,<sub>Georgia GELDS</sub>,<sub>Head Start ELOF</sub>,<sub>Colorado ELDG</sub>,<sub>Illinois Early Learning Guidelines</sub>,<sub>Pennsylvania Standards</sub>,<sub>Georgia GELDS</sub>,,
Approaches to Learning,Creativity & Problem-Solving,ATL.4.a,Child Shows Creativity and Problem-Solving,ATL.4.a - Moves arms and legs actively to explore surroundings.,"ATL.4.b - Begins to reach and grasp for new objects, showing interest in surroundings.","ATL.4.c - Uses toys or objects for exploration, like mouthing or shaking, to understand properties.",ATL.4.d - Engages in simple pretend play by mimicking routines or actions they observe.,"ATL.4.e - Uses everyday objects creatively in play, such as pretending a cup is a phone.","ATL.4.f - Uses imagination during play, like pretending objects are something else (e.g., block as phone).",ATL.4.g - Engages in role play and makes creative adaptations to toys and materials for storytelling.,,
,,,,<sub>Colorado ELDG</sub>,<sub>Head Start ELOF</sub>,<sub>Georgia GELDS</sub>,<sub>Illinois Early Learning Guidelines</sub>,<sub>Alabama DECE</sub>,<sub>Pennsylvania Standards</sub>,<sub>Illinois Early Learning Guidelines</sub>,,
Social and Emotional Development,Relationships with Adults,P-SE.1.a,Child Engages with Adults,P-SE.1.a - Attends to caregiver's face and voice,P-SE.1.b - Smiles in response to familiar faces,P-SE.1.c - Reaches out to be held by familiar adults,P-SE.1.d - Shows separation anxiety with caregiver absence,P-SE.1.e - Seeks comfort from familiar adults,P-SE.1.f - Engages in simple cooperative tasks with adults,P-SE.1.g - Participates in shared tasks with adults independently,,
,,,,<sub>Frog Street Progressions</sub>,<sub>Frog Street Progressions</sub>,<sub>Frog Street Progressions</sub>,<sub>Frog Street Progressions</sub>,<sub>Frog Street Progressions</sub>,<sub>Frog Street Progressions</sub>,<sub>Frog Street Progressions</sub>,,
