Standard Code,Standard Label,Item Type,Sequence,Human Code,Full Statement
ATL.1,Manages emotions with growing independence.,Developmental Progression,1.1.1.1.1,ATL.1.A.1,Calms when held by a familiar caregiver
ATL.1,Manages emotions with growing independence.,Developmental Progression,1.1.1.2.1,ATL.1.B.1,Smiles or vocalizes in response to familiar voices.
ATL.1,Manages emotions with growing independence.,Developmental Progression,1.1.1.3.1,ATL.1.C.1,"Initiates simple interactions, like holding hands."
ATL.1,Manages emotions with growing independence.,Developmental Progression,1.1.1.4.1,ATL.1.D.1,Seeks adults for comfort during challenges
ATL.1,Manages emotions with growing independence.,Developmental Progression,1.1.1.5.1,ATL.1.E.1,Manages less intense emotions independently.
ATL.1,Manages emotions with growing independence.,Developmental Progression,1.1.1.5.2,ATL.1.E.2,Articulates their emotions.
ATL.1,Manages emotions with growing independence.,Developmental Progression,1.1.1.5.3,ATL.1.E.3,Asks for adult support to manage intense emotions.
ATL.1,Manages emotions with growing independence.,Developmental Progression,1.1.1.6.1,ATL.1.F.1,Expresses emotions in ways that are appropriate to the situation.
ATL.1,Manages emotions with growing independence.,Developmental Progression,1.1.1.6.2,ATL.1.F.2,Seeks adult assistance when emotions are most intense.
ATL.1,Manages emotions with growing independence.,Developmental Progression,1.1.1.6.3,ATL.1.F.3,"Uses coping strategies, such as using words or taking deep breaths, to manage emotions with adult support."
ATL.2,Follows rules and routines with growing independence.,Developmental Progression,1.1.2.1.1,ATL.2.A.1,Shows recognition of familiar routines through calmness or anticipation
ATL.2,Follows rules and routines with growing independence.,Developmental Progression,1.1.2.2.1,ATL.2.B.1,"Participates in simple routines, such as putting toys in a bin when encouraged."
ATL.2,Follows rules and routines with growing independence.,Developmental Progression,1.1.2.3.1,ATL.2.C.1,"Begins anticipating steps in routines, like washing hands before eating."
ATL.2,Follows rules and routines with growing independence.,Developmental Progression,1.1.2.4.1,ATL.2.D.1,"Participates in group routines, such as lining up or cleaning up toys"
ATL.2,Follows rules and routines with growing independence.,Developmental Progression,1.1.2.5.1,ATL.2.E.1,Follows classroom rules and routines with assistance from adults.
ATL.2,Follows rules and routines with growing independence.,Developmental Progression,1.1.2.6.1,ATL.2.F.2,Follows classroom rules and routines with occasional reminders from adults.
ATL.2,Follows rules and routines with growing independence.,Developmental Progression,1.1.2.6.2,ATL.2.F.4,Responds to signals when transitioning from one activity to another.
