Item Type,Sequence,Human Code,Full Statement
Domain,3,LC,Language and Communication
Cluster,3.1,,Language and Communication: Attending and Understanding
Standard,3.1.1,LC.1,Attends to and begins understanding spoken language.
Label,3.1.1.1,,Infants (INF 8-18) Learning Outcome
Developmental Progression,3.1.1.1.1,,Turns head toward familiar voices
Developmental Progression,3.1.1.1.2,,"Exchanges facial expressions and language sounds with familiar adults or by changing focus, making eye contact, or looking at people or objects during these interactions."
Label,3.1.1.2,,Infants (INF 0-8) Learning Outcome
Developmental Progression,3.1.1.2.1,,Follows simple verbal instructions
Developmental Progression,3.1.1.2.2,,"Shows understanding of the meaning of familiar caregivers’ verbal and non-verbal communication and responds with facial expressions, gestures, words or actions, such as looking at people or objects being referred to."
Label,3.1.1.3,,Toddler (TOD 18-24) Learning Outcome
Developmental Progression,3.1.1.3.1,,"Demonstrates joint attention with adults by showing interest, understanding, or enjoyment when participating in language activities, such as fingerplays or stories."
Developmental Progression,3.1.1.3.2,,"Shows recognition of words, phrases, and simple sentences."
Label,3.1.1.4,,Toddler (TOD 24-36) Learning Outcome
Developmental Progression,3.1.1.4.1,,Responds to multi-step instructions
Developmental Progression,3.1.1.4.2,,Demonstrates interest and understanding when participating in activities or games.
Label,3.1.1.5,,Preschool (PS 36-48) Learning Outcome
Developmental Milestone,3.1.1.5.1,,Acknowledges comments or questions from peers or adults.
Developmental Milestone,3.1.1.5.2,,"Attends to conversations, either spoken or signed."
Label,3.1.1.6,,PreK (PK 48-60) Learning Outcome
Developmental Progression,3.1.1.6.1,, Uses verbal and non-verbal signals appropriately to acknowledge the comments or questions of others.
Developmental Milestone,3.1.1.6.2,,"Attends to longer, multi-turn conversations, either spoken or signed."
Developmental Progression,3.1.1.6.3,," Shows ongoing connection to a conversation, group discussion, or presentation."
Standard,3.1.2,LC.2,Develops vocabulary and uses increasingly complex sentences.
Label,3.1.2.1,,Infants (INF 0-8) Learning Outcome
Developmental Progression,3.1.2.1.1,,Responds with coos when spoken to
Label,3.1.2.2,,Infants (INF 8-18) Learning Outcome
Developmental Progression,3.1.2.2.1,,Babbles using varied tones and patterns
Label,3.1.2.3,,Toddler (TOD 18-24) Learning Outcome
Developmental Progression,3.1.2.3.1,,Uses simple sentences during play
Label,3.1.2.4,,Toddler (TOD 24-36) Learning Outcome
Developmental Progression,3.1.2.4.1,,Speaks in short but complete sentences
Label,3.1.2.5,,Preschool (PS 36-48) Learning Outcome
Developmental Milestone,3.1.2.5.1,,Comprehends and interprets simple instructions.
Developmental Milestone,3.1.2.5.2,,Understands and responds to increasingly longer sentences.
Developmental Milestone,3.1.2.5.3,,Engages in conversations with peers and adults.
Developmental Milestone,3.1.2.5.4,,Answers simple questions.
Developmental Milestone,3.1.2.5.5,,"Uses 3- to 5-word phrases/sentences with occasional pronunciation and grammatical errors when communicating (e.g., “The pencil got broke”)."
Label,3.1.2.6,,PreK (PK 48-60) Learning Outcome
Developmental Milestone,3.1.2.6.1,,Uses complex sentences
Developmental Milestone,3.1.2.6.2,,Engages in conversations with peers and adults.
Developmental Milestone,3.1.2.6.3,,"Understands and responds to complex statements, questions, and stories."
Developmental Milestone,3.1.2.6.4,,Recalls multiple step directions.
Developmental Milestone,3.1.2.6.5,,Demonstrates understanding of a variety of question types.
Developmental Milestone,3.1.2.6.6,,Demonstrates understanding of a variety of sentence types.
Developmental Progression,3.1.2.6.7,, Shows an understanding of talk related to the past or future.
Developmental Milestone,3.1.2.6.8,,"Shows understanding of content of books read aloud, stories that are told, or lengthy explanations given on a topic."
Cluster,3.2,,Language and Communication:Communicating and Speaking
Standard,3.2.1,LC.3,Engages in and understands conversational practices.
Label,3.2.1.1,,Infants (INF 0-8) Learning Outcome
Developmental Progression,3.2.1.1.1,,Cries to indicate needs like hunger or comfort
Label,3.2.1.2,,Infants (INF 8-18) Learning Outcome
Developmental Progression,3.2.1.2.1,,Uses basic sounds to indicate needs
Label,3.2.1.3,,Toddler (TOD 18-24) Learning Outcome
Developmental Progression,3.2.1.3.1,,Names objects to communicate needs
Label,3.2.1.4,,Toddler (TOD 24-36) Learning Outcome
Developmental Progression,3.2.1.4.1,,Combines words to explain needs
Label,3.2.1.5,,Preschool (PS 36-48) Learning Outcome
Developmental Milestone,3.2.1.5.1,,"Uses language, spoken or sign, for a variety of purposes."
Developmental Milestone,3.2.1.5.2,,Provides sufficient detail to get needs met from a variety of adults.
Label,3.2.1.6,,PreK (PK 48-60) Learning Outcome
Developmental Milestone,3.2.1.6.1,,Shares relevant information in activities and discussions.
Developmental Milestone,3.2.1.6.2,,"Uses language, spoken or sign, for different purposes."
Developmental Milestone,3.2.1.6.3,,Provides sufficient detail in order to get needs met from a variety of adults.
Developmental Progression,3.2.1.6.4,," Uses language, spoken or sign, to clarify a word or statement when misunderstood."
Developmental Milestone,3.2.1.6.5,,"Switches between multiple languages, if applicable."
Standard,3.2.2,LC.4,"Communicates needs, wants, and feelings effectively."
Label,3.2.2.1,,Infants (INF 0-8) Learning Outcome
Developmental Progression,3.2.2.1.1,,Coos and babbles during playtime
Developmental Progression,3.2.2.1.2,,"Explores sounds common in many languages, such as “ma-ma” or “ba-ba.”"
Label,3.2.2.2,,Infants (INF 8-18) Learning Outcome
Developmental Progression,3.2.2.2.1,,Practices turn-taking during conversations
Developmental Progression,3.2.2.2.2,,"Uses a variety of ways (e.g., babbling, gestures, change in intonation) to communicate interests, needs and wants, such as saying or signing for “More” when eating."
Developmental Milestone,3.2.2.2.3,,"Communicates mainly about objects, actions, and events happening in the here and now."
Developmental Milestone,3.2.2.2.4,,"Repeats actions or single words to initiate or maintain social interactions with other children or adults, such as clapping hands or calling a name to get someone’s attention."
Label,3.2.2.3,,Toddler (TOD 18-24) Learning Outcome
Developmental Milestone,3.2.2.3.1,,"Seeks information and meaning of words by asking questions in words or signs, such as “What’s that?” or “Who’s that?” or “Why?”"
Developmental Milestone,3.2.2.3.2,,"Combines words or signs from one or more languages into phrases and sentences to communicate needs, wants or ideas, such as “More milk” or “Quiero (I want) juice”."
Developmental Progression,3.2.2.3.3,,Takes turns babbling with caregivers
Label,3.2.2.4,,Toddler (TOD 24-36) Learning Outcome
Developmental Progression,3.2.2.4.1,,Engages in group discussions with peers
