Identifier,URI,Item Type,Sequence,Human Code,Full Statement,Abbreviated Statement,Notes,Supp. Info,Ed. Level,Language,Src. Item ID,# Parents,# Children,Imp. Start Date,Retirement Date,Last Modified
ebda149b-ca1e-4bbf-970a-030fbe651a6f,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/67cfefe0-5f91-4386-8fcb-bcce611a4c78,Domain,1,ATL,Approaches to Learning,,,,,,,1,4,,,2025-02-06T14:59:25+00:00
4af92c73-63e6-4861-a45b-7480abb4bdb4,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/67cfefe0-5f91-4386-8fcb-bcce611a4c78,Cluster,1.1,,Emotional and Behavioral Self Regulation,,,,,,,1,4,,,2025-02-04T05:42:55+00:00
3ca1a319-4e16-45aa-aaf0-1ac669c6d159,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/3ca1a319-4e16-45aa-aaf0-1ac669c6d159,Standard,1.1.1,ATL.1,Manages emotions with growing independence.,,,,,,,1,6,,,2025-02-04T15:02:27+00:00
7986eb3a-30b1-4b42-9f1b-8aa8dffd3d05,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/67cfefe0-5f91-4386-8fcb-bcce611a4c78,Label,1.1.1.1,ATL.1.A,Infants (INF 0-8) Learning Outcome,,,,,,,1,1,,,2025-01-24T17:23:04+00:00
e3392800-6b06-4fb9-9b8f-c654e32f7b1c,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/67cfefe0-5f91-4386-8fcb-bcce611a4c78,Developmental Progression,1.1.1.1.1,ATL.1.A.1,Calms when held by a familiar caregiver,,,,,,,1,0,,,2025-01-24T17:23:41+00:00
ff544fd2-1285-425e-bf89-814c63c76ba0,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/67cfefe0-5f91-4386-8fcb-bcce611a4c78,Label,1.1.1.2,ATL.1.B,Infants (INF 8-18) Learning Outcome,,,,,,,1,1,,,2025-01-24T17:23:58+00:00
6e339396-f9c1-4767-8a6c-a7d4cf61f354,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/67cfefe0-5f91-4386-8fcb-bcce611a4c78,Developmental Progression,1.1.1.2.1,ATL.1.B.1,Smiles or vocalizes in response to familiar voices.,,,,,,,1,0,,,2025-01-24T17:24:10+00:00
fdf2c693-aee0-4264-bfc1-a1281f1141dc,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/67cfefe0-5f91-4386-8fcb-bcce611a4c78,Label,1.1.1.3,ATL.1.C,Toddler (TOD 18-24) Learning Outcome,,,,,,,1,1,,,2025-01-31T06:47:18+00:00
99c69687-05ae-4eb0-bb2d-78311f34ea8e,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/67cfefe0-5f91-4386-8fcb-bcce611a4c78,Developmental Progression,1.1.1.3.1,ATL.1.C.1,"Initiates simple interactions, like holding hands.",,,,,,,1,0,,,2025-01-31T06:47:21+00:00
8f40d2bc-2fe0-4d77-a28b-b81a4f9d17ca,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/67cfefe0-5f91-4386-8fcb-bcce611a4c78,Label,1.1.1.4,ATL.1.D,Toddler (TOD 24-36) Learning Outcome,,,,,,,1,1,,,2025-01-31T06:47:26+00:00
33b55a51-3778-4124-9fba-041aa789f8ea,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/67cfefe0-5f91-4386-8fcb-bcce611a4c78,Developmental Progression,1.1.1.4.1,ATL.1.D.1,Seeks adults for comfort during challenges,,,,,,,1,0,,,2025-01-31T06:47:29+00:00
61d7595e-d3f8-4bf0-bfb3-2eaeb0aa3106,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/67cfefe0-5f91-4386-8fcb-bcce611a4c78,Label,1.1.1.5,ATL.1.E,Preschool (PS 36-48) Learning Outcome,,,,,,,1,3,,,2025-01-31T06:47:33+00:00
b3d6bcab-e542-468f-b58d-0fbfa46d45e2,https://satchelcommons.com/ims/case/v1p0/CFItems/b3d6bcab-e542-468f-b58d-0fbfa46d45e2,Developmental Progression,1.1.1.5.1,ATL.1.E.1,Manages less intense emotions independently.,,,,PK,en,,1,0,,,2025-01-31T06:47:40+00:00
e355de6d-871d-4df0-af71-2a6aa4156d48,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/e355de6d-871d-4df0-af71-2a6aa4156d48,Developmental Progression,1.1.1.5.2,ATL.1.E.2,Articulates their emotions.,,,,,,,1,0,,,2025-01-31T06:47:43+00:00
86a8c25d-ac8b-4c04-b421-b2839185da4f,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/86a8c25d-ac8b-4c04-b421-b2839185da4f,Developmental Progression,1.1.1.5.3,ATL.1.E.3,Asks for adult support to manage intense emotions.,,,,PK,en,,1,0,,,2025-01-31T06:47:49+00:00
1c2c2850-af33-48d8-b071-005022399b19,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/67cfefe0-5f91-4386-8fcb-bcce611a4c78,Label,1.1.1.6,ATL.1.F,PreK (48-60 Learning Outcomes),,,,,,,1,3,,,2025-01-27T14:49:30+00:00
a0f88a5a-2e66-4e0c-8753-44f25952ded3,https://satchelcommons.com/ims/case/v1p0/CFItems/a0f88a5a-2e66-4e0c-8753-44f25952ded3,Developmental Progression,1.1.1.6.1,ATL.1.F.1,Expresses emotions in ways that are appropriate to the situation.,,,,PK,en,,1,0,,,2025-01-31T06:48:23+00:00
506b5d36-2055-45b8-81dc-05ef27f86f43,https://frogstreet.commongoodlt.com/ims/case/v1p0/CFItems/506b5d36-2055-45b8-81dc-05ef27f86f43,Developmental Progression,1.1.1.6.2,ATL.1.F.2,Seeks adult assistance when emotions are most intense.,,,,PK,en,,1,0,,,2025-01-31T06:48:13+00:00
