Sequence,Human Code,Full Statement,CVR,Transition Gap,Progression Coherence,Overall Progression Score
1.1.1.1.1,ATL.1.A.1,Calms when held by a familiar caregiver,-0.6,0.0,1.0,0.36
1.1.1.2.1,ATL.1.B.1,Smiles or vocalizes in response to familiar voices.,-0.2,0.0,1.0,0.52
1.1.1.3.1,ATL.1.C.1,"Initiates simple interactions, like holding hands.",-0.6,0.0,1.0,0.36
1.1.1.4.1,ATL.1.D.1,Seeks adults for comfort during challenges,0.2,0.0,1.0,0.6799999999999999
1.1.1.5.1,ATL.1.E.1,Manages less intense emotions independently.,0.6,0.0,1.0,0.8400000000000001
1.1.1.5.2,ATL.1.E.2,Articulates their emotions.,1.0,0.0,1.0,1.0
1.1.1.5.3,ATL.1.E.3,Asks for adult support to manage intense emotions.,0.2,0.0,1.0,0.6799999999999999
1.1.1.6.1,ATL.1.F.1,Expresses emotions in ways that are appropriate to the situation.,-0.6,0.0,1.0,0.36
1.1.1.6.2,ATL.1.F.2,Seeks adult assistance when emotions are most intense.,0.2,0.0,1.0,0.6799999999999999
1.1.1.6.3,ATL.1.F.3,"Uses coping strategies, such as using words or taking deep breaths, to manage emotions with adult support.",0.6,0.0,1.0,0.8400000000000001
1.1.2.1.1,ATL.2.A.1,Shows recognition of familiar routines through calmness or anticipation,-0.2,0.0,1.0,0.52
1.1.2.2.1,ATL.2.B.1,"Participates in simple routines, such as putting toys in a bin when encouraged.",-0.2,0.0,1.0,0.52
1.1.2.3.1,ATL.2.C.1,"Begins anticipating steps in routines, like washing hands before eating.",-1.0,0.0,1.0,0.19999999999999996
1.1.2.4.1,ATL.2.D.1,"Participates in group routines, such as lining up or cleaning up toys",0.6,0.0,1.0,0.8400000000000001
1.1.2.5.1,ATL.2.E.1,Follows classroom rules and routines with assistance from adults.,0.2,0.0,1.0,0.6799999999999999
1.1.2.6.1,ATL.2.F.2,Follows classroom rules and routines with occasional reminders from adults.,0.6,0.0,1.0,0.8400000000000001
1.1.2.6.2,ATL.2.F.4,Responds to signals when transitioning from one activity to another.,-0.2,0.0,1.0,0.52
1.1.3.1.1,ATL.3.A.1,Grasps and explores objects with curiosity.,0.2,0.0,1.0,0.6799999999999999
1.1.3.2.1,ATL.3.B.1,Begins to place items in designated spaces with guidance.,1.0,0.0,1.0,1.0
1.1.3.3.1,ATL.3.C.1,"Helps with simple clean-up tasks, such as putting books back on a shelf.",0.6,0.0,1.0,0.8400000000000001
1.1.3.4.1,ATL.3.D.1,Begins to understand the value of taking care of shared materials.,0.6,0.0,1.0,0.8400000000000001
1.1.3.5.1,ATL.3.E.1,Handles classroom materials properly with adult support.,0.6,0.0,1.0,0.8400000000000001
1.1.3.5.2,ATL.3.E.2,Participates in the cleaning and return of classroom materials.,0.2,0.0,1.0,0.6799999999999999
1.1.3.6.1,ATL.3.F.1,Takes care of classroom materials,0.2,0.0,1.0,0.6799999999999999
1.1.3.6.2,ATL.3.F.2,Appropriately handles materials during activities.,-0.2,0.0,1.0,0.52
1.1.3.6.3,ATL.3.F.3,Cleans up and returns materials appropriately.,0.6,0.0,1.0,0.8400000000000001
1.1.4.1.1,ATL.4.A.1,Reacts to caregiver’s facial expressions and calming voice,-0.6,0.0,1.0,0.36
1.1.4.2.1,ATL.4.B.1,Begins to stop or start actions based on simple verbal cues.,-1.0,0.0,1.0,0.19999999999999996
