Item Type,Sequence,Full Statement,Standard Sequence,Standard Label,Mokken Score
Standard,1.1.1,Manages emotions with growing independence.,,,0.12023130363032652
Standard,1.1.2,Follows rules and routines with growing independence.,,,0.040854587851595486
Standard,1.1.3,Handles and cares for materials appropriately.,,,0.10210911907133374
Standard,1.1.4,"Controls actions, words, and behaviors with independence.",,,0.09428760937957831
Standard,1.2.1,Develops the ability to control impulses effectively.,,,0.046396101212393126
Standard,1.2.2,Maintains focus and attention with minimal support.,,,0.1341287847477919
Standard,1.2.3,Persists in tasks despite challenges.,,,0.0865688735658812
Standard,1.2.4,Retains and uses information to complete tasks.,,,0.07412878474779197
Standard,1.2.5,Adapts thinking and behavior with flexibility.,,,0.17126144907173438
Standard,1.3.1,Takes initiative and demonstrates independence.,,,0.0752614490717344
Standard,1.3.2,Explores and shows curiosity about the world.,,,0.09126144907173442
Standard,1.4.1,Expresses creativity in thoughts and communication.,,,0.1413765123479408
Standard,1.4.2,Engages imagination in play and social interactions.,,,0.12088492795763159
Standard,2.1.1,Builds positive relationships with trusted adults.,,,0.1310265743877963
Standard,2.1.2,Cooperates and engages with adults in activities.,,,0.11769324105446288
Standard,2.2.1,Interacts positively with peers in various settings.,,,0.08656887356588125
Standard,2.2.2,Participates in cooperative and shared play experiences.,,,0.12344966559911177
Standard,2.2.3,Participates in cooperative and shared play experiences.,,,0.15526144907173436
Standard,2.3.1,Expresses and navigates a range of emotions.,,,0.07026540123682967
Standard,2.3.2,"Shows care, empathy, and concern for others.",,,0.10210911907133374
Standard,2.3.3,Manages emotions with increasing independence.,,,0.0652678474172936
Standard,2.4.1,Recognizes individuality and personal uniqueness.,,,0.0752614490717344
Standard,2.4.2,Displays confidence in skills and abilities.,,,0.09179401886672248
Standard,2.4.3,Develops a sense of belonging within a group.,,,0.10726144907173443
Standard,3.1.1,Attends to and begins understanding spoken language.,,,0.19136021011998716
Standard,3.1.2,Develops vocabulary and uses increasingly complex sentences.,,,-0.2478679656440358
Standard,3.2.1,Engages in and understands conversational practices.,,,-0.03586796564403577
Standard,3.2.2,"Communicates needs, wants, and feelings effectively.",,,0.10441269659843216
Standard,3.2.3,Understands and responds to different types of questions.,,,-0.0678679656440358
Standard,3.3.1,Child understands and uses a wide variety of words for a variety of purposes,,,-0.00098343848391802
Standard,3.3.2,Child shows understanding of word categories and relationships among words,,,0.3683281572999747
Standard,3.4.1,"Demonstrates awareness of sounds, syllables, and rhymes.",,,0.13737900077244491
Standard,3.5.1,Demonstrates an understanding of functions of print and conventions of print.,,,0.16825961989814814
Standard,3.5.1.6.3,Practices proper book-handling skills.,,,
Standard,3.5.2,Child identifies letters of the alphabet,,,
Standard,3.6.1,Child demonstrates an understanding of narrative structure through storytelling/re-telling,,,0.11314095446866496
Standard,3.6.2,Asks and answers questions about read-aloud books.,,,0.10606929424309566
Standard,3.7.1,Writes for different purposes with increasing complexity.,,,0.17589121496183444
Standard,3.7.1.6.1,Uses writing to communicate ideas,,,
Standard,3.7.1.6.4,Celebrates class-made and individual writing projects,,,-0.06666666666666665
Standard,3.8.1.1,Shows awareness and appreciation of diverse languages and cultures.,,,
Standard,3.8.1.2,Demonstrates increasing understanding of spoken English in various contexts.,,,
Standard,3.8.1.3,"Demonstrates increasing proficiency in speaking English by using words, phrases, and complete sentences to express needs, ideas, and opinions.",,,
Standard,3.8.2.1,"Acquires English grammar structures appropriate to their age and language proficiency,",,,
Standard,4.1.1,Explores understanding of numbers and counting.,,,0.040863644104898594
Standard,4.1.2,Child recognizes the number of objects in a small set (subitizing),,,0.1376646746268893
Standard,4.1.3,Demonstrates awareness between numbers and quantities.,,,0.16452129159399517
Standard,4.1.4,Child compares numbers,,,0.2265535635157782
Standard,4.1.5,Connects numbers to quantities and experiments with writing numbers.,,,0.10726144907173443
Standard,4.1.6,Understands addition as adding to and subtraction as taking away.,,,0.19361220068490434
Standard,4.1.7,Demonstrates one-to-one correspondence.,,,
Standard,4.1.8,Child demonstrates order and sequence,,,
Standard,4.2.1,Recognizes and begins to understand simple patterns.,,,0.20815765523035887
Standard,4.2.2,Creates and explores equal and unequal sets.,,,
Standard,4.3.1,"Identifies, describes, compares, and composes shapes.",,,0.2322313036303265
Standard,4.3.2,Explores positions of objects in space.,,,0.1341287847477919
Standard,4.3.3,Demonstrates classification of objects and materials.,,,0.1692786838055363
Standard,4.4.1,Measures objects using standard and non-standard units.,,,0.09771117201415438
Standard,5.1.1,"Explores and describes objects, materials, and events.",,,0.15992256671558897
Standard,5.1.2,Expresses curiosity and engages in simple conversations about science-related topics.,,,0.19099800796022265
Standard,5.1.3,Child compares and categorizes observable phenomena,,,0.22927868380553634
Standard,5.2.1,"Shows curiosity, asks questions, and makes predictions.",,,0.09428760937957831
Standard,5.2.2,Explores cause-and-effect through play and investigations.,,,0.20877578573800043
Standard,5.2.3,"Analyzes outcomes, draws conclusions, and shares discoveries.",,,0.21102657438779626
Standard,5.3.1,Explores and Investigates properties and changes in matter,,,
Standard,5.3.2,Investigates sources of energy,,,
Standard,5.4.1,"Recognizes, explores and categorizes between living and nonliving things",,,
Standard,5.4.2,Investigates and can explain life cycles,,,
Standard,5.4.3,Understands and can explain relationships between living things/environments,,,
Standard,5.4.4,Explores the five senses and related phenomena,,,0.06371173070873834
Standard,5.5.1,Investigates earth materials,,,
Standard,5.5.2,Observe changes and objects in the earth and sky,,,
Standard,5.5.3,Demonstrates environmental awareness and effects of weather on daily life,,,
Standard,6.1.1,"Develops control, strength, and coordination of large muscles.",,,0.2472341822234448
