code,fullstatement,type
ATL.1,Child manages emotions with increasing independence,Standard
ATL.10,Child demonstrates initiative and independence,Standard
ATL.11,Child shows interest in and curiosity about the world around them,Developmental Milestones
ATL.12,Child expresses creativity in thinking and communication,Developmental Milestones
ATL.13,Child uses imagination in play and interaction with others,Developmental Milestones
ATL.2,Child follows classroom rules and routines with increasing independence,Developmental Milestones
ATL.3,Child appropriately handles and takes care of classroom materials,Developmental Milestones
ATL.4,"Child manages actions, words, and behavior with increasing independence",Developmental Milestones
ATL.5,Child demonstrates an increasing ability to control impulses,Developmental Milestones
ATL.6,Child maintains focus and sustains attention with minimal adult support,Developmental Milestones
ATL.7,Child persists in tasks,Developmental Milestones
ATL.8,Child holds information in mind and manipulates it to perform tasks,Standard
ATL.9,Child demonstrates flexibility in thinking and behavior,Developmental Milestones
FS-1,Child demonstrates classification,0
FS-1.a,"Child can distinguish between different categories (i.e., color, size, shape).",0
FS-1.b,Child can group objects or pictures based on shared characteristics.,0
FS-1.c,Child can explain why they have grouped items in a particular way.,0
FS-2,Child creates equal and unequal sets,0
FS-2.a,Child Identifies Equal and Unequal Quantities,0
FS-2.b,Child Gesturally or Verbally Segregates Objects into Equal or Unequal Sets,0
FS-2.c,Child Demonstrates Understanding of the Concept through Drawing or Other Creative Means,0
FS-3,Child demonstrates one-to-one correspondence,0
FS-3.a,Child accurately counts objects individually,0
FS-3.b,Child matches objects to corresponding numbers,0
FS-3.c,Child demonstrates understanding of 'one more' or 'one less',0
FS-4,"Child recognizes, duplicates, and extends simple patterns",0
FS-4.a,Child identifies and recognizes simple patterns in various contexts.,0
FS-4.b,Child accurately duplicates given patterns using physical objects or drawings.,0
FS-4.c,Child successfully extends existing simple patterns by adding appropriate elements.,0
FS-5,Child identifies pattern core,0
FS-5.a,Child recognizes repetitive sequences,0
FS-5.b,Child predicts next element in a pattern,0
FS-5.c,Child creates own pattern,0
FS-6,Child demonstrates order and sequence,0
FS-6.a,Child Identifies Patterns,0
FS-6.b,Child Understands Temporal Order,0
FS-6.c,Child Applies Sequential Logic,0
LC.1,Child attends to communication and language from others,Developmental Milestones
LC.2,Child understands and responds to increasingly complex communication and language from others,Standard
LC.3,Child varies the amount of information provided to meet the demands of the situations,Developmental Milestones
LC.3.a,Adjusting Complexity of Information,Developmental Milestones
LC.3.b,Contextual Understanding and Information Sharing,Developmental Milestones
LC.3.c,Information Regulation in Social Interaction,Standard
LC.4,"Child understands, follows, and uses appropriate social and conversational rules",Developmental Milestones
LC.4.a,"""Child recognizes and respects personal space and boundaries of others""",Standard
LC.4.b,"""Child accurately interprets verbal and non-verbal social cues in a conversation""",Developmental Milestones
LC.4.c,"""Child applies polite and constructive language during social interactions""",Developmental Milestones
LC.5,"Child expresses himself in increasingly long, detailed, and sophisticated ways",Developmental Milestones
LC.5.a,Vocabulary Expansion,Developmental Milestones
LC.5.b,Narrative Skills,Developmental Milestones
LC.5.c,Verbal Fluency and Clarity,Developmental Milestones
LC.5.d,"Explore drawing, painting and writing as a way of communicating.",Developmental Milestones
LC.5.e,Tell teacher about drawing,Standard
LC.6,Child understands and uses a wide variety of words for a variety of purposes,Developmental Milestones
LC.6.a,Vocabulary Expansion,Developmental Milestones
LC.6.b,Purposeful Word Usage,Developmental Milestones
LC.6.c,Word Comprehension,Standard
LC.6.d,Begin using 's' at the end of some words such as wants trucks and mouses.,Developmental Milestones
LC.7,Child shows understanding of word categories and relationships among words,Developmental Milestones
LC.7.a,"Child can differentiate between various word categories, like nouns, adjectives, and verbs.",Developmental Milestones
LC.7.b,Child can arrange words with similar meanings into categories.,Developmental Milestones
LC.7.c,"Child can identify and describe relationships between words, such as synonyms, antonyms, homophones.",Standard
LIT.1,Child demonstrates awareness that spoken language is composed of smaller segments of sound,Developmental Milestones
LIT.1.a,Child understands and identifies different sounds in words,Developmental Milestones
LIT.1.b,Child exhibits phonological awareness,Standard
LIT.1.c,Child applies sound recognition in language interaction,Developmental Milestones
LIT.2,Child demonstrates an understanding of how print is used (functions of print) and the rules that govern how print works (conventions of print),Developmental Milestones
LIT.2.a,Recognizes Basic Print Concepts,Developmental Milestones
LIT.2.b,Identifies Functions of Print,Developmental Milestones
LIT.2.c,Applies Conventional Rules of Print,Standard
LIT.3,Child identifies letters of the alphabet,Developmental Milestones
LIT.3.a,Child recognizes upper-case letters.,Developmental Milestones
LIT.3.b,Child recognizes lower-case letters.,Standard
LIT.3.c,Child distinguishes between different letters.,Developmental Milestones
LIT.4,Child demonstrates an understanding of narrative structure through storytelling/re-telling,Standard
LIT.4.a,Child illustrates comprehension by re-telling familiar stories in their own words'.,Developmental Milestones
LIT.4.b,Child identifies main events and characters in a narrative'.,Developmental Milestones
LIT.4.c,Child creates coherent and chronological narrative plots through storytelling'.,Developmental Milestones
LIT.5,Child asks and answers questions about a book that was read aloud,Developmental Milestones
LIT.5.a,Ability to Comprehend Story Elements from books,Standard
LIT.5.b,Expressive Language Development from printed or read-aloud books.,Developmental Milestones
LIT.5.c,Critical Thinking and Interpretation about printed books.,Developmental Milestones
