Item Type,Sequence,Human Code,Full Statement,Abbreviated Statement,Notes,Supp. Info,Ed. Level,Language,Rewritten Statement
Domain,2,ATL,Domain #1: Approaches to Learning,,,,,,
Standard,2.1,ATL.1,Child manages emotions with increasing independence,,,,,,- Calms down on their own after getting upset.
Label,2.1.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,2.1.1.1,,Calms when held by a familiar caregiver,,,,,,- Relaxes when a familiar caregiver holds them.
Label,2.1.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,2.1.2.1,,Smiles or vocalizes in response to familiar voices.,,,,,,- Smiles or coos when hearing a familiar voice.
Label,2.1.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,2.1.3.1,,"Initiates simple interactions, like holding hands.",,,,,,- Reaches out to hold hands.
Label,2.1.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,2.1.4.1,,Seeks adults for comfort during challenges,,,,,,- Looks for a grown-up when needing comfort.
Label,2.1.5,,Preschool Learning Outcome (BASE) (36-48),,,,,,
Developmental Milestones,2.1.5.1,P-ATL.1.a,"""Child can identify and articulate their own emotions.""",,,,,,- Points to or names feelings like happy or sad.
Developmental Milestones,2.1.5.2,P-ATL.1.b,"""Child utilizes appropriate coping strategies to handle negative emotions.""",,,,,,- Uses simple ways to calm down when upset.
Developmental Milestones,2.1.5.3,P-ATL.1.c,"""Child independently resolves emotional distress or conflict, and can return to play or tasks.""",,,,,,- Calms down and gets back to playing after feeling upset.
Label,2.1.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,2.1.6.1,I.A.4,Manages emotions,,,,PK,,"- Shows feelings by smiling, crying, or making faces."
Developmental Milestones,2.1.6.2,I.A.4.a,Identifies and Names Emotions,,,,PK,,"""Points to a picture of a happy face and says 'happy.'"""
Developmental Milestones,2.1.6.3,I.A.4.b,Expresses Emotions Appropriately,,,,PK,,"Shows feelings with smiles, frowns, or cries."
Developmental Milestones,2.1.6.4,I.A.4.c,Regulates Emotions,,,,PK,,- Uses a hug or a toy to feel better when upset.
Standard,2.2,ATL.2,Child follows classroom rules and routines with increasing independence,,,,,,- Follows simple routines and directions with some help.
Label,2.2.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,2.2.1.1,,Shows recognition of familiar routines through calmness or anticipation,,,,,,- Smiles or gets excited when it's time for a familiar activity.
Label,2.2.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,2.2.2.1,,"Participates in simple routines, such as putting toys in a bin when encouraged.",,,,,,- Puts toys in a bin when asked.
Label,2.2.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,2.2.3.1,,"Begins anticipating steps in routines, like washing hands before eating.",,,,,,- Anticipates handwashing before meals.
Label,2.2.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,2.2.4.1,,"Participates in group routines, such as lining up or cleaning up toys",,,,,,- Joins in lining up or tidying toys with others.
Label,2.2.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
