code,fullstatement,type,Rewritten Statement
ATL.1,Child manages emotions with increasing independence,Standard,Shows feelings and calms down by themselves.
ATL.10,Child demonstrates initiative and independence,Standard, Explores new toys or surroundings without needing help.
ATL.11,Child shows interest in and curiosity about the world around them,Developmental Milestones, Explores new objects and places with interest.
ATL.12,Child expresses creativity in thinking and communication,Developmental Milestones, Draws unique pictures and babbles or uses simple words to describe them.
ATL.13,Child uses imagination in play and interaction with others,Developmental Milestones,Pretends during play with friends.
ATL.2,Child follows classroom rules and routines with increasing independence,Developmental Milestones, Follows simple routines with a little help.
ATL.3,Child appropriately handles and takes care of classroom materials,Developmental Milestones, Picks up and puts away toys carefully.
ATL.4,"Child manages actions, words, and behavior with increasing independence",Developmental Milestones, uses words and actions to do things on their own.
ATL.5,Child demonstrates an increasing ability to control impulses,Developmental Milestones, Waits for a turn when playing with others.
ATL.6,Child maintains focus and sustains attention with minimal adult support,Developmental Milestones, Stays focused on a toy or activity without much help from an adult.
ATL.7,Child persists in tasks,Developmental Milestones,Keeps trying when playing with toys.
ATL.8,Child holds information in mind and manipulates it to perform tasks,Standard, Remembers and uses simple steps to play a game.
ATL.9,Child demonstrates flexibility in thinking and behavior,Developmental Milestones, Shows ability to try new ways to solve simple problems.
FS-1,Child demonstrates classification,0, Sorts toys by color or shape.
FS-1.a,"Child can distinguish between different categories (i.e., color, size, shape).",0,"Sorts toys by color, size, or shape."
FS-1.b,Child can group objects or pictures based on shared characteristics.,0,Sorts toys by color or shape.
FS-1.c,Child can explain why they have grouped items in a particular way.,0,Sorts items into groups and can show why they belong together.
FS-2,Child creates equal and unequal sets,0, Matches and groups objects into equal or different sets.
FS-2.a,Child Identifies Equal and Unequal Quantities,0,"*Points to groups with the same number of items and says ""same"" or ""different.""*"
FS-2.b,Child Gesturally or Verbally Segregates Objects into Equal or Unequal Sets,0, Sorts toys into same-size or different-size groups using hands or words.
FS-2.c,Child Demonstrates Understanding of the Concept through Drawing or Other Creative Means,0,Draws or creates to show understanding.
FS-3,Child demonstrates one-to-one correspondence,0,Matches one object to one other object.
FS-3.a,Child accurately counts objects individually,0, Points to and counts each toy one by one.
FS-3.b,Child matches objects to corresponding numbers,0, Points to or Picks objects when you say a number.
FS-3.c,Child demonstrates understanding of 'one more' or 'one less',0,"- Adds or takes away one toy when asked for ""one more"" or ""one less."""
FS-4,"Child recognizes, duplicates, and extends simple patterns",0,"Copies and continues simple patterns, like stacking blocks in a specific order."
FS-4.a,Child identifies and recognizes simple patterns in various contexts.,0, Spots and Follows simple patterns during play.
FS-4.b,Child accurately duplicates given patterns using physical objects or drawings.,0, Builds or Draws simple patterns by copying them.
FS-4.c,Child successfully extends existing simple patterns by adding appropriate elements.,0, Adds the next shape or color in a simple pattern.
FS-5,Child identifies pattern core,0,Stacks blocks in a repeating color order.
FS-5.a,Child recognizes repetitive sequences,0, Notices and reacts to familiar patterns.
FS-5.b,Child predicts next element in a pattern,0, Points to or says what comes next in a simple pattern.
FS-5.c,Child creates own pattern,0, Stacks blocks in a repeating color order.
FS-6,Child demonstrates order and sequence,0,Stacks blocks from biggest to smallest.
FS-6.a,Child Identifies Patterns,0," Spots and Matches simple patterns, like stripes or dots."
FS-6.b,Child Understands Temporal Order,0,"- Puts events in order by saying ""first"" and ""then."""
FS-6.c,Child Applies Sequential Logic,0, Stacks blocks in order from biggest to smallest.
LC.1,Child attends to communication and language from others,Developmental Milestones, Listens and responds to voices and sounds around them.
LC.2,Child understands and responds to increasingly complex communication and language from others,Standard, responds to simple words and phrases with actions or sounds.
LC.3,Child varies the amount of information provided to meet the demands of the situations,Developmental Milestones,Offers different details based on what others need.
LC.3.a,Adjusting Complexity of Information,Developmental Milestones,Simplify information during play.
LC.3.b,Contextual Understanding and Information Sharing,Developmental Milestones,Talks about things they see or do around them.
LC.3.c,Information Regulation in Social Interaction,Standard, Shares toys with a friend during playtime.
LC.4,"Child understands, follows, and uses appropriate social and conversational rules",Developmental Milestones,Joins in simple conversations by taking turns and using polite words.
LC.4.a,"""Child recognizes and respects personal space and boundaries of others""",Standard, Notices and stops when getting too close to others.
LC.4.b,"""Child accurately interprets verbal and non-verbal social cues in a conversation""",Developmental Milestones,- Notices and responds to others' facial expressions and gestures.
